Id,SessionId,CompId,FinYearId,ItemDesc,TotalQty,Rate,Discount,MId,Unit
75,Sapl0005,1,6,Slido Cross Rail C63(5mtrs X 3nos. = 15mtrs),15.0,2520.0,0.0,27,3
76,Sapl0005,1,6,Trolley Set for C63,3.0,10800.0,0.0,27,9
77,Sapl0005,1,6,flipping unit for conrod cleaning & washing,1.0,840000.0,0.0,28,1
78,Sapl0005,1,6,New Fixture A56802,1.0,1250000.0,0.0,29,1
79,Sapl0005,1,6,"new fixture for Lock slot operation on AMS
VMC",1.0,555000.0,0.0,30,1
80,Sapl0005,1,6,Transformer fixture with trolley,1.0,1440000.0,0.0,31,1
81,Sapl0005,1,6,ERP SOFTWARE,1.0,691000.0,0.0,32,1
82,Sapl0005,1,6,LIFTO BREAK LINER,6.0,5533.0,0.0,33,1
83,Sapl0005,1,6,Slido Long Rail C63(3mtrs X 2nos. = 6mtrs),6.0,2800.0,0.0,34,3
84,Sapl0005,1,6,Slido Cross Rail C63(3mtrs X 1nos. = 3mtrs),3.0,2800.0,0.0,34,3
85,Sapl0005,1,6,Trolley Set for C63,1.0,10000.0,0.0,34,9
86,Sapl0005,1,6,"Additional Fixture For Cross Member &
Accommodation of Balance Models in Current Fixtures",1.0,18500000.0,0.0,35,1
87,Sapl0005,1,6,Welding Fixtures For Load Body,1.0,3510000.0,0.0,36,1
88,Sapl0005,1,6,"Gravity roller conveyor for K & Q 19 cyl.
block",5.0,45000.0,0.0,37,3
89,Sapl0005,1,6,Welding Fixtures For G75 & G90,1.0,3500000.0,0.0,38,1
90,Sapl0005,1,6,Slido Long Rail C63,500.0,2622.0,0.0,39,3
91,Sapl0005,1,6,Slido Cross Rail C63(2.5m X 40nos. = 100mtrs),100.0,2622.0,0.0,39,3
92,Sapl0005,1,6,Trolley Set for C63,40.0,10800.0,0.0,39,9
93,Sapl0005,1,6,Fabrication & Machining of Base,1.0,352000.0,0.0,40,1
94,sapl0313,1,7,Operator Platform,3.0,1220000.0,0.0,41,16
95,sapl0313,1,7,Draw Bridge - 01 No.,1.0,300000.0,0.0,42,16
96,sapl0313,1,7,CBS OP2- Fabricated Tools and Accessories.,1.0,698000.0,0.0,43,16
97,sapl0313,1,7,Fabricated Assemblies - CP01,1.0,320961.0,0.0,44,16
98,sapl0313,1,7,Job Work for various assemblies - 1 Set,1.0,1285000.0,0.0,45,16
99,sapl0313,1,7,Motorized Cart for Long member transfer,1.0,1144918.0,0.0,46,16
100,sapl0313,1,7,Powerised Conveyor with tressel/table for transfer  of Long member on LM assembly fixture,1.0,1363006.0,0.0,46,16
101,sapl0313,1,7,Long member Assembly fixture LH and RH,1.0,3348722.0,0.0,46,16
102,sapl0313,1,7,Modification in existing Geometric Ladder making fixture,1.0,3225978.0,0.0,46,16
103,sapl0313,1,7,Tightening & Outer bracket fitment fixture,1.0,3803588.0,0.0,46,16
104,sapl0313,1,7,Motorized Cart for Frame transfer to Conveyor,1.0,1281416.0,0.0,46,16
105,sapl0313,1,7,Inspection + Correction fixture,1.0,5762446.0,0.0,46,16
106,1,1,13,for testing,100.0,20000.0,1.0,48,1
108,1,1,13,for customer,1000.0,100.0,1.0,49,1
110,1,1,13,"Hydraulic Cylinder Assembly - 50mm bore, 300mm stroke, 250 bar pressure rating",15.0,45500.0,5.0,50,1
