Id,BillNo,BillDate,PONo,PODate,Particulars,WONo,BGGroup,AcHead,Amount,BudgetCode,PVEVNo,MId
4151,-,2018-04-03,,,breakfast exp.,NA,10,26,179.0,0,,3511
4152,-,2018-04-04,,,SUPPLIER VISIT,NA,17,16,800.0,0,,3512
4153,107,2018-04-04,,,MATERIAL PUR.,J0104,1,45,1050.0,2,,3513
4154,-,2018-04-04,,,PETROL EXP.,J0104,1,16,176.0,7,,3513
4155,69,2018-04-04,,,DIESEL IN BOLERO,NA,24,45,500.0,0,,3514
4156,-,2018-04-04,,,petrol exp.,NA,15,16,100.0,0,,3515
4157,-,2018-04-06,,,petrol exp.,NA,19,16,235.0,0,,3516
4158,-,2018-04-06,,,"PETROL EXP.
MH-12,NS-0230",N0179,1,16,720.0,7,,3517
4159,78/123/978,2018-04-06,,,NIGHT WORKING & GUEST LUNCH EXP.,NA,24,26,680.0,0,,3518
4160,45,2018-04-06,,,NIGHT LUNCH,N0179,1,26,3600.0,9,,3519
4161,-,2018-04-06,,,PETROL EXP.,NA,5,16,192.0,0,,3520
4162,-,2018-04-06,,,SUNDAY WORKING,J0102,1,16,100.0,7,,3521
4163,-,2018-04-06,,,"PETROL EXP.
MH-16,BK-9201",N0179,1,16,270.0,7,,3522
4164,-,2018-04-06,,,CUSTOMER VISIT,NA,4,16,300.0,0,,3523
4165,263,2018-04-06,,,LATE WORKING & NIGHT TIFFINS,NA,24,26,800.0,0,,3524
4166,salary-March.2018,2018-04-09,,,salary-March.2018,NA,24,52,9000.0,0,,3525
4167,salary-March.2018,2018-04-09,,,salary-March.2018,NA,24,52,9000.0,0,,3526
4168,salary-March.2018,2018-04-09,,,salary-March.2018,NA,9,52,6968.0,0,,3527
4169,salary-March.2018,2018-04-09,,,salary-March.2018,NA,24,52,8129.0,0,,3528
4170,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,12764.0,0,,3529
4171,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,11577.0,0,,3530
4172,salary-March.2018,2018-04-09,,,salary-March.2018,NA,15,52,8680.0,0,,3531
4173,salary-March.2018,2018-04-09,,,salary-March.2018,NA,2,52,10024.0,0,,3532
4174,salary-March.2018,2018-04-09,,,salary-March.2018,NA,2,52,8073.0,0,,3533
4175,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,10484.0,0,,3534
4176,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,9971.0,0,,3535
4177,salary-March.2018,2018-04-09,,,salary-March.2018,NA,24,52,9203.0,0,,3536
4178,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,7391.0,0,,3537
4179,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,9728.0,0,,3538
4180,salary-March.2018,2018-04-09,,,salary-March.2018,NA,3,52,4094.0,0,,3539
4181,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,8642.0,0,,3540
4182,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,10331.0,0,,3541
4183,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,15065.0,0,,3542
4184,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,20000.0,0,,3543
4185,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,2724.0,0,,3544
4186,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,20000.0,0,,3545
4187,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,589.0,0,,3546
4188,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,4419.0,0,,3547
4189,salary-March.2018,2018-04-09,,,salary-March.2018,NA,5,52,8225.0,0,,3548
4190,salary-March.2018,2018-04-09,,,salary-March.2018,NA,24,52,10403.0,0,,3549
4192,salary-March.2018,2018-04-09,,,salary-March.2018,NA,24,52,7097.0,0,,3551
4193,1398/26,2018-04-09,,,MATERIAL PUR.,N0179,1,1,2062.0,1,,3552
4194,-,2018-04-09,,,OFFICE EXP.,NA,17,51,2460.0,0,,3552
4195,-,2018-04-09,,,BREAKFAST EXP.,NA,17,26,800.0,0,,3552
4196,-,2018-04-09,,,CUSTOMER VISIT,NA,10,16,575.0,0,,3553
4197,-,2018-04-09,,,CLIENT VISIT,NA,11,16,100.0,0,,3554
4198,055,2018-04-09,,,LEGAL & PROFESSIONAL FEES,NA,17,51,12300.0,0,,3555
4199,3673,2018-04-12,,,"TOWARDS OFFICE WORK
GANGADHAM & IDBI BANK NARHE",NA,9,51,200.0,0,,3556
4200,-,2018-04-13,,,TOWARDS FACTORY LICENCE REMOVAL,NA,24,51,10000.0,0,,3557
4201,915,2018-04-14,,,TRANSPORT CHARGES (MUMBAI TO SAPL),N0175,1,11,4170.0,6,,3558
4202,95,2018-04-14,,,LUNCH WITH BANKER,NA,9,26,590.0,0,,3559
4203,-,2018-04-14,,,Petrol exp.,NA,9,16,550.0,0,,3559
4204,SINV200002009328,2018-04-14,,,ARIBA-ASN FEES,NA,4,20,1020.0,0,,3560
4205,000103,2018-04-14,,,WEIGHT CHARGES FOR PLATE,NA,13,51,70.0,0,,3561
4206,3710,2018-04-14,,,"PETROL EXP.FOR NARHEGAON-UE.
MH 12,NN-616",NA,11,16,200.0,0,,3562
4207,054,2018-04-16,,,INTERNET CHARGES & PENDING AMT.PAID,NA,11,20,1900.0,0,,3563
4208,029210031,2018-04-16,,,TRANSPORT CHARGES,N0179,1,11,1185.0,6,,3564
4209,4966,2018-04-16,,,SNACKS FOR LATE WORK,N0179,1,26,264.0,9,,3565
4210,-,2018-04-16,,,"SUPPLIER VISIT
",N0179,1,16,240.0,7,,3566
4211,-,2018-04-16,,,"SUPPLIER VISIT
PETROL EXP.
MH 16 BK-9201",N0179,1,16,260.0,7,,3567
4212,-,2018-04-16,,,"SUNDAY WORKING
MH 12 FH-4420",N0179,1,16,180.0,7,,3568
4213,-,2018-04-16,,,LATE NIGHT WORK,N0176,1,16,800.0,7,,3569
4214,-,2018-04-16,,,CUSTOMER VISIT,N0166,1,16,275.0,7,,3570
4215,-,2018-04-16,,,"PETROL EXP.(HARD DISK REPAIR-PROTON SOLUTION)
MH12,KZ-8494",NA,11,16,160.0,0,,3571
4216,-,2018-04-17,,,"SAMPLE AUDIT FEE
MR.BHOSALE",NA,9,51,5000.0,0,,3572
4217,-,2018-04-20,,,petrol exp.,NA,9,16,70.0,0,,3573
4218,-,2018-04-20,,,courier charges,NA,9,5,60.0,0,,3573
4219,-,2018-04-24,,,sunday working,N0179,1,16,210.0,7,,3574
4220,716,2018-04-24,,,GUEST LUNCH,NA,9,26,240.0,0,,3575
4221,-,2018-04-24,,,COURIER CHARGES,NA,9,5,60.0,0,,3575
4222,000078,2018-04-25,,,LUNCH,NA,10,26,400.0,0,,3576
4223,-,2018-04-25,,,CUSTOMER VISIT ,NA,10,16,1555.0,0,,3576
4224,-,2018-04-25,,,NIGHT DINNER,N0179,1,26,90.0,9,,3577
4225,-,2018-04-25,,,PETROL EXP,N0179,1,16,120.0,7,,3577
4226,-,2018-04-25,,,petrol exp.(ue),NA,11,16,100.0,0,,3578
4227,-,2018-04-26,,,"diesel in bus & bolero
7245/5483",NA,24,51,3500.0,0,,3579
4228,-,2018-04-26,,,material drop (petrol exp.),NA,24,16,200.0,0,,3579
4229,-,2018-04-27,,,factory licence fee,NA,8,51,5000.0,0,,3580
4230,-,2018-04-30,,,canteen exp.(bhaji),NA,24,43,520.0,0,,3581
4231,-,2018-04-30,,,bus pick up & drop,NA,24,51,650.0,0,,3582
4232,165,2018-04-30,,,"bus diesel
7267",NA,24,16,500.0,0,,3583
4233,-,2018-04-30,,,"diesel for xuv
mh 12 lj 5441",NA,10,51,500.0,0,,3584
4234,-,2018-04-30,,,"CUSTOMER VISIT 
CUMMINS",NA,4,16,300.0,0,,3585
4235,-,2018-04-19,,,AGAINST IOU (JV-04),NA,15,51,202.0,0,,3586
4236,-,2018-05-19,,,AGAINST IOU (JV-05),N0179,1,16,131.0,7,,3587
4237,-,2018-04-19,,,AGAINST IOU (JV-06),NA,5,16,25.0,0,,3588
4238,-,2018-04-25,,,against iou (jv-11),NA,8,43,1403.0,0,,3589
4239,-,2018-04-25,,,against iou (jv-12),NA,8,51,580.0,0,,3590
4240,-,2018-04-25,,,against iou (jv-16),NA,4,51,1778.0,0,,3591
4241,-,2018-05-07,,,AGAINST IOU(JV-23),NA,5,16,91.0,0,,3592
4242,-,2018-05-07,,,AGAINST IOU (JV-27),NA,24,51,1000.0,0,,3593
4243,-,2018-04-30,,,LUNCH EXP.,N0175,1,26,140.0,7,,3594
4244,-,2018-04-30,,,PETROL EXP.,N0175,1,16,100.0,7,,3594
4245,000052,2018-05-02,,,"lunch exp.for customer visit
",N0155,1,26,410.0,9,,3595
4246,-,2018-05-02,,,MATERIAL PUR.,N0179,1,51,978.0,9,,3596
4247,-,2018-05-02,,,CANTEEN EXP.,NA,8,43,370.0,0,,3596
4248,-,2018-05-03,,,PETROL EXP.,N0175,1,16,250.0,7,,3597
4249,259,2018-05-03,,,OFFICE EXP.,N0175,1,28,150.0,1,,3597
4250,1081,2018-05-03,,,NIGHT LUNCH EXP.,N0175,1,26,120.0,9,,3598
4251,5886,2018-05-04,,,"PETROL EXP.
MH-12,GU-6133",NA,9,16,100.0,0,,3599
4252,-,2018-05-07,,,SUNDAY WORKING,NA,5,16,96.0,0,,3600
4253,-,2018-05-07,,,SUNDAY WORKING,N0179,1,16,160.0,7,,3601
4254,-,2018-05-07,,,SUNDAY WORKING,N0179,1,16,360.0,7,,3602
4255,-,2018-05-07,,,"CUSTOMER VISIT
(TATA MOTORS)",N0155,1,16,550.0,7,,3603
4256,-,2018-05-07,,,SUNDAY WORKING,N0179,1,16,160.0,7,,3604
4257,1474,2018-05-10,,,NASTA FOR GUESTS,NA,8,26,180.0,0,,3605
4258,752,2018-05-10,,,WATER JAR,NA,8,51,240.0,0,,3605
4259,25,2018-05-10,,,lUNCH EXP.,N0155,1,26,1600.0,9,,3606
4260,-,2018-05-12,,,office exp.,N0173,1,28,850.0,1,,3607
4261,-,2018-05-12,,,PETROL EXP.,N0173,1,16,150.0,7,,3607
4262,-,2018-05-14,,,"PETROL EXP.
UNITED ENGG.",NA,11,16,100.0,0,,3608
4263,-,2018-05-14,,,SUNDAY WORKING,N0175,1,16,60.0,7,,3609
4264,-,2018-05-15,,,ON SITE CUMMINS,N0179,1,16,1200.0,7,,3610
4265,-,2018-05-15,,,SUNDAY WORKING,NA,5,16,60.0,0,,3611
4266,055,2018-05-19,,,INTERNET CHARGES,NA,11,20,1700.0,0,,3612
4267,-,2018-05-21,,,SUNDAY WORKING,NA,19,16,70.0,0,,3613
4268,-,2018-05-22,,,"PETROL EXP.
SAPL TO CUMMINS",NA,4,16,300.0,0,,3614
4269,241,2018-05-22,,,OFFICE EXP.,N0179,1,28,60.0,1,,3615
4270,-,2018-05-22,,,PETROL EXP.,N0179,1,16,60.0,7,,3615
4271,2090,2018-05-22,,,"GUEST LUNCH
B&R CUSTOMER",NA,4,26,240.0,0,,3616
4272,1804902847,2018-05-22,,,"COURIER CHARGES (DOOR COLLECTION)
STEEL-O-FAB",NA,15,5,410.0,0,,3617
4273,-,2018-05-23,,,"TRANSPORT CHARGES
SAPL TO BHOSARI",NA,15,11,2800.0,0,,3618
4274,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,24,52,6000.0,0,,3619
4275,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,24,52,6000.0,0,,3620
4276,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,9,52,7600.0,0,,3621
4277,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,24,52,5400.0,0,,3622
4278,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,13054.0,0,,3623
4279,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,7150.0,0,,3624
4280,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,15,52,8656.0,0,,3625
4281,Salary-april 2018,2018-05-30,,,Salary-april 2018,NA,2,52,11115.0,0,,3626
4282,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,2,52,8343.0,0,,3627
4283,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,5950.0,0,,3628
4284,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,24,52,8544.0,0,,3629
4285,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,5720.0,0,,3630
4286,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,12214.0,0,,3631
4287,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,8769.0,0,,3632
4288,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,17067.0,0,,3633
4289,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,20000.0,0,,3634
4290,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,465.0,0,,3635
4291,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,24,52,16548.0,0,,3636
4292,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,833.0,0,,3637
4293,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,5,52,5734.0,0,,3638
4294,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,24,52,12500.0,0,,3639
4295,Salary-april 2018,2018-05-23,,,Salary-april 2018,NA,2,52,10417.0,0,,3640
4296,Salary-april 2018,2018-05-23,,,"Salary-april 2018
(Account problem of aniket in bank)",NA,5,52,10602.0,0,,3641
4297,-,2018-05-21,,,ADV SETTLED AGAINST IOU,NA,13,45,200.0,0,,3642
4298,-,2018-05-22,,,ADV SETTLED AGAINST IOU,NA,10,16,300.0,0,,3643
4299,-,2018-05-24,,,ADV SETTLED AGAINST IOU,NA,4,51,486.0,0,,3644
4300,-,2018-05-26,,,ADV SETTLED AGAINST IOU,NA,10,16,213.0,0,,3645
4301,JV-41,2018-05-31,,,ADV SETTLED AGAINST IOU & REMAINING CASH PAID,NA,4,16,2806.0,0,,3646
4302,JV-43,2018-05-31,,,ADV SETTLED AGAINST IOU & REMAINING AMT.PAID,NA,3,16,1340.0,0,,3647
4303,JV-44,2018-05-31,,,ADV SETTLED AGAINST IOU & REMAINING AMT.PAID,NA,3,16,850.0,0,,3648
4304,013996/300139410,2018-05-25,,,"PETROL EXP.
SAPL TO BHANSALI METAL TO SUNDARLAL BANK
MH-12,NN-616",NA,9,16,150.0,0,,3649
4305,-,2018-05-26,,,"PETROL EXP.TOWERDS SUPPLIER VISIT
MH12,BK-9201",N0155,1,16,100.0,7,,3650
4306,1059,2018-05-26,,,TRANSPORT CHARGES FROM VALLABHA INDUSTRIAL TRADERS TO SAPL,N0155,1,5,13060.0,6,,3651
4307,-,2018-05-28,,,SALARY FOR APRIL 2018,NA,2,52,1918.0,0,,3652
4308,-,2018-05-28,,,SALARY OF APRIL 2018,NA,2,52,4013.0,0,,3653
4309,-,2018-05-29,,,TRACTOR EXP.FOR FARM,NA,8,51,2800.0,0,,3654
4310,-,2018-05-30,,,PETROL EXP.FOR SUPPLIER VISIT,N0155,1,16,180.0,7,,3655
4311,2420/90,2018-05-30,,,"GUEST LUNCH EXP.
(ATLAS COPCO & TATA MOTORS)",NA,9,26,720.0,0,,3656
4312,-,2018-05-31,,,"SUNDAY WORKING (MATERIAL UNLOADING)
DT.06.05.2018",NA,5,16,80.0,0,,3657
4313,-,2018-05-31,,,SUNDAY WORKING,NA,5,16,96.0,0,,3658
4314,830,2018-06-01,,,WATER CHARGES FOR THE MONTH OF MAY-2018,NA,8,51,480.0,0,,3659
4315,4596,2018-06-02,,,"PETROL EXP.
SAPL TO UE",NA,11,16,100.0,0,,3660
4316,-,2018-06-02,,,"PETROL EXP.TOWARDS CUSTOMER VISIT
(PROTO D)",NA,10,16,610.0,0,,3661
4317,1804903504,2018-06-02,,,"COURIER CHARGES 
(STEEL O FAB)",NA,15,5,410.0,0,,3662
4318,-,2018-06-02,,,SUPPLIER VISIT,N0155,1,16,100.0,7,,3663
4319,-,2018-06-02,,,SALARY FOR APRIL 2018,NA,5,52,2277.0,0,,3664
4320,-,2018-06-07,,,TIFFINS FOR DAY NIGHT EXTRA WORKING,NA,8,26,2100.0,0,,3665
4321,000184,2018-06-07,,,DAY NIGHT WORK LUNCH ,N0155,1,26,280.0,9,,3666
4322,285,2018-06-07,,,"LATE WORKING & SUNDAY WORKING
TEA & BREAKFAST",NA,19,26,352.0,0,,3667
4323,-,2018-06-07,,,salary of march & april 2018,NA,24,52,3833.0,0,,3668
4324,017499,2018-06-07,,,"PETROL EXP.
MH12,NN-616",NA,9,16,100.0,0,,3669
4325,-,2018-06-07,,,petrol exp.,NA,19,16,150.0,0,,3670
4326,000146,2018-06-14,,,DAY-NIGHT WORK LUNCH EXP.,N0155,1,26,230.0,9,,3671
4327,-,2018-06-14,,,"PETROL EXP.
(SAPL TO CUMMINS)",N0166,1,16,750.0,7,,3672
4328,CASH PUR./-,2018-06-14,,,RAW MATERIAL PUR.,N0179,1,28,1706.0,1,,3673
4329,-,2018-06-16,,,PETROL EXP.SALP TO BALAJINAGAR,NA,11,16,100.0,0,,3674
4330,-,2018-06-16,,,NIGHT WORKING,N0155,1,16,90.0,7,,3675
4331,-,2018-06-16,,,TOWARDS SUPPLIER VISIT,NA,17,16,106.0,0,,3676
4332,-,2018-06-16,,,customer visit(cummins kothrud),NA,19,16,150.0,0,,3677
4333,-,2018-06-16,,,TOWARDS CUSTOMER VISIT (PROTO D),N0175,1,16,1350.0,7,,3678
4334,M991B7422672,2018-06-16,,,COURIER CHARGES (KEMPPI INDIA),NA,8,5,140.0,0,,3679
4335,salary-may 2018,2018-06-18,,,salary-may 2018,NA,24,52,9000.0,0,,3680
4336,salary-may 2018,2018-06-18,,,salary-may 2018,NA,24,52,8419.0,0,,3681
4337,salary-may 2018,2018-06-18,,,salary-may 2018,NA,9,52,7613.0,0,,3682
4338,salary-may 2018,2018-06-19,,,salary-may 2018,NA,24,52,7270.0,0,,3683
4339,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,4065.0,0,,3684
4340,salary-may 2018,2018-06-18,,,salary-may 2018,NA,24,52,7694.0,0,,3685
4341,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,16516.0,0,,3686
4342,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,11952.0,0,,3687
4343,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,5484.0,0,,3688
4344,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,16997.0,0,,3689
4345,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,18739.0,0,,3690
4346,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,3913.0,0,,3691
4347,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,7409.0,0,,3692
4348,salary-may 2018,2018-06-18,,,salary-may 2018,NA,3,52,11290.0,0,,3693
4349,salary-may 2018,2018-06-18,,,salary-may 2018,NA,3,52,6403.0,0,,3694
4350,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,10887.0,0,,3695
4351,salary-may 2018,2018-06-18,,,salary-may 2018,NA,3,52,8794.0,0,,3696
4352,salary-may 2018,2018-06-18,,,salary-may 2018,NA,3,52,8945.0,0,,3697
4353,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,2226.0,0,,3698
4354,salary-may 2018,2018-06-18,,,salary-may 2018,NA,5,52,1213.0,0,,3699
4355,salary-may 2018,2018-06-18,,,salary-may 2018,NA,24,52,710.0,0,,3700
4356,3197,2018-06-18,,,dinner for employees (night0,N0155,1,26,240.0,9,,3701
4357,salary-may 2018,2018-06-19,,,salary-may 2018,NA,5,52,8806.0,0,,3702
4358,1154,2018-06-20,,,MATERIAL PUR.,NA,5,45,90.0,0,,3703
4359,-,2018-06-20,,,DISTRIBUTION OF EDUCATIONAL MATERIAL,NA,24,51,2650.0,0,,3704
4360,-,2018-06-20,,,saturday night work,N0155,1,16,50.0,7,,3705
4361,1139,2018-06-20,,,"TRANSPORT CHARGES FOR VALLABHA INDUSTRIAL TRADERS.
14000 PAID ONLINE 
22 RS.IN CASH",NA,15,15,22.0,0,,3706
4362,3404,2018-06-22,,,EMPLOYEE DINNER FOR NIGHT WORK,N0155,1,26,240.0,9,,3707
4363,-,2018-06-22,,,AMOUNT PAID AGANIST BILL,NA,9,45,2000.0,0,,3708
4364,-,2018-06-26,,,"PETROL EXP.TOWARDS SUNDAY WORKING
(DT.26.06.18)",NA,2,16,120.0,0,,3709
4365,-,2018-06-01,,, ADV SETTELD AGAINST IOU TOWARDS DIESEL-5441 & REMAINING AMT.PAID TO VILAS PETHE,NA,15,50,84.0,0,,3710
4366,-,2018-06-01,,,ADV SETTLED AGAINST IOU & REMAINING AMT.PAID,NA,24,51,772.0,0,,3711
4367,-,2018-06-02,,,ADV SETTLED AGAINST IOU,NA,8,43,1064.0,0,,3712
4368,-,2018-06-12,,,ADV SETTLED AGAINST IOU,NA,13,45,24.0,0,,3713
4369,-,2018-06-18,,,ADV SETTLED AGAINST IOU,NA,10,16,319.0,0,,3714
4370,-,2018-06-19,,,ADV SETTLED AGAINST IOU,NA,8,51,1000.0,0,,3715
4371,-,2018-06-20,,,ADV SETTLED AGAINST IOU & REMAINING AMT.PAID,NA,4,51,10.0,0,,3716
4372,-,2018-06-20,,,ADV SETTLED AGAINST IOU,NA,10,16,206.0,0,,3717
4373,-,2018-06-23,,,ADV SETTLED AGAINST IOU & REMAINING AMT.PAID,NA,4,51,200.0,0,,3718
4374,-,2018-06-23,,,adv settled against iou & remaining amt.paid,NA,8,43,51.0,0,,3719
4375,-,2018-06-23,,,adv settled against iou & remaining amt. paid,NA,8,2,722.0,0,,3720
4376,-,2018-06-29,,,ADV SETTLED AGAINST IOU & REMAINING AMT.PAID ,NA,4,16,100.0,0,,3721
4377,-,2018-06-29,,,Adv settled against iou & remaining amt.paid,NA,15,5,2.0,0,,3722
4378,-,2018-06-26,,,"SAPL-BALAJINAGAR-CIL-VELU
PETROL EXP.",NA,19,16,150.0,0,,3723
4379,-,2018-06-26,,,OFFICE EXP,NA,19,51,80.0,0,,3723
4380,230,2018-06-26,,,"PURCHASING OF PLANT LIKE ROSE,TULSI  ETC.",NA,8,51,3800.0,0,,3724
4381,-,2018-07-26,,,CANTEEN MATERIAL,NA,8,43,370.0,0,,3724
4382,-,2018-07-26,,,"DIESEL EXP.
(PAUD TO URALI KANCHAN)",NA,4,16,400.0,0,,3724
4383,-,2018-06-28,,,plumbing line working charges,NA,8,51,750.0,0,,3725
4384,3575,2018-06-28,,,TOWARDS EMPLOYEE DINNER,NA,8,26,480.0,0,,3726
4385,3669,2018-06-29,,,LUNCH FOR GUEST OF ELECTRICAL DEPT.,N0155,1,26,120.0,9,,3727
4386,619,2018-06-29,,,COURIER CHARGES.(KAVITSU ROBOTRONIX),NA,15,5,720.0,0,,3728
4387,-,2018-06-29,,,NIGHT WORK (DT.18.6.18 TO 23.6.18),N0155,1,16,480.0,7,,3729
4388,-,2018-06-30,,,SUNDAY WORKING,N0155,1,16,70.0,7,,3730
4389,-,2018-06-30,,,SUNDAY WORKING.(DT.24.6.18),N0155,1,16,70.0,7,,3731
4390,104,2018-06-30,,,TRANSPORT CHARGES (LUNA BEARINGS),N0155,1,5,9500.0,6,,3732
4391,-,2018-06-30,,,TOWARDS SUNDAY WORKING,N0155,1,16,80.0,7,,3733
4392,-,2018-06-30,,,TOWARDS SUNDAY WORKING,N0155,1,16,120.0,7,,3734
4393,-,2018-06-30,,,AGAINST BILL,NA,9,50,500.0,0,,3735
4394,-,2018-06-30,,,TOWARDS ONSITE JAPTECH & CUMMINS,N0166,1,16,600.0,7,,3736
4395,-,2018-06-30,,,TOWARDS MILK PUR.,NA,24,43,66.0,0,,3737
4396,3820,2018-07-02,,,TOWARDS LUNCH FOR GUEST (P.L.C.),NA,4,26,120.0,0,,3738
4397,-,2018-07-02,,,towards sundarlal bank,NA,9,16,70.0,0,,3739
4398,3861,2018-07-03,,,towards guest lunch,N0155,1,26,680.0,9,,3740
4399,-,2018-07-03,,,SUNDAY WORKING & PUR.OF SPANNER,NA,4,16,397.0,0,,3741
4400,-,2018-07-03,,,SUNDAY WORKING,N0155,1,16,70.0,7,,3742
4401,-,2018-07-04,,,TOWARDS SUNDAY WORKING,N0155,1,16,120.0,7,,3743
4402,-,2018-07-04,,,SUNDAY WORKING,N0155,1,16,120.0,7,,3744
4403,-,2018-07-04,,,TOWARDS SUNDAY WORKING,N0155,1,16,70.0,7,,3745
4405,-,2018-07-04,,,TOWARDS DIGITAL SIGNATURE OF RNC,NA,9,51,1500.0,0,,3747
4406,-,2018-07-04,,,ADVANCE AMT.,NA,9,50,500.0,0,,3747
4407,-,2018-07-04,,,TOWARDS SUNDAY WORKING,NA,15,16,108.0,0,,3748
4408,-,2018-07-04,,,CANTEEN EXP.,NA,24,43,132.0,0,,3749
4409,-,2018-07-02,,,"transport charges
sapl to chakan",N0155,1,15,5100.0,6,,3750
4410,3905/41,2018-07-07,,,LUNCH FOR PROGRAMMER,NA,8,26,240.0,0,,3751
4411,-,2018-07-07,,,DINNER 2 PERSON,NA,11,26,300.0,0,,3752
