Id,SysDate,SysTime,SessionId,CompId,FinYearId,PRSPRFlag,POId,PONo,SupplierId,Reference,ReferenceDate,ReferenceDesc,PaymentTerms,Freight,Octroi,ModeOfDispatch,Inspection,FileName,FileSize,ContentType,FileData,Remarks,Checked,CheckedBy,CheckedDate,CheckedTime,Approve,ApprovedBy,ApproveDate,ApproveTime,Authorize,AuthorizedBy,AuthorizeDate,AuthorizeTime,ShipTo,AmendmentNo,Warrenty,Insurance,TC
19,2013-06-13,5:07:50 PM,Sapl0013,1,1,0,76,0074,S038,1,2013-05-09,,10,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,,
20,2013-06-13,5:07:56 PM,Sapl0013,1,1,0,76,0074,S038,1,2013-05-09,,10,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",2,1,,
21,2013-06-06,12:02:46 PM,Sapl0013,1,1,0,105,0103,Y001,2,2013-05-29,-,7,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
22,2013-06-13,5:08:19 PM,Sapl0013,1,1,0,105,0103,Y001,2,2013-05-29,-,7,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,-,
23,2013-06-13,5:08:27 PM,Sapl0013,1,1,0,105,0103,Y001,2,2013-05-29,-,7,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",2,1,-,
24,2013-06-13,5:08:33 PM,Sapl0013,1,1,0,105,0103,Y001,2,2013-05-29,-,7,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",3,1,-,
25,2013-06-14,10:15:51 AM,Sapl0031,1,1,1,148,0143,A014,2,2013-06-14,-,5,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
26,2013-06-19,5:52:23 PM,Sapl0031,1,1,0,165,0160,S034,2,2013-06-19,-,5,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
27,2013-06-19,10:07:07 AM,Sapl0031,1,1,0,159,0154,A012,2,2013-06-19,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
28,2013-06-20,12:40:22 PM,Sapl0013,1,1,0,159,0154,A012,2,2013-06-19,-,6,1,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,-,
29,2013-06-15,2:52:15 PM,Sapl0031,1,1,0,158,0153,A012,2,2013-06-15,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
30,2013-06-21,11:01:09 AM,Sapl0031,1,1,0,184,0178,C001,2,2013-06-21,suhas,5,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
31,2013-06-19,11:34:00 AM,Sapl0031,1,1,1,162,0157,A011,2,2013-06-19,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
32,2013-06-22,12:22:22 PM,Sapl0013,1,1,1,162,0157,A011,2,2013-06-19,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,-,
33,2013-06-22,12:26:01 PM,Sapl0013,1,1,1,162,0157,A011,2,2013-06-19,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",2,1,-,
34,2013-06-22,12:30:26 PM,Sapl0013,1,1,1,162,0157,A011,2,2013-06-19,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",3,1,-,
35,2013-06-21,10:35:10 AM,Sapl0031,1,1,0,179,0174,S018,1,2013-06-21,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
36,2013-06-25,10:46:19 AM,Sapl0013,1,1,0,179,0174,S018,1,2013-06-21,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,-,
37,2013-06-24,12:43:42 PM,Sapl0031,1,1,0,207,0201,A008,5,2013-06-24,-,11,2,6,-,-,,,,,-,1,Sapl0013,2013-06-24,2:26:03 PM,1,Sapl0013,2013-06-24,2:26:29 PM,1,Sapl0013,2013-06-24,2:27:03 PM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
38,2013-06-27,12:27:47 PM,Sapl0031,1,1,0,219,0213,S038,1,2013-06-27,-,10,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
39,2013-06-25,10:07:25 AM,Sapl0031,1,1,1,209,0203,S040,2,2013-06-25,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
40,2013-07-03,9:59:36 AM,Sapl0031,1,1,0,236,0229,G006,1,2013-07-03,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
41,2013-07-03,3:19:36 PM,Sapl0031,1,1,0,237,0230,A012,2,2013-07-03,,6,1,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,,
42,2013-07-04,3:15:17 PM,Sapl0013,1,1,0,241,0234,B001,2,2013-07-04,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
43,2013-07-04,10:26:29 AM,Sapl0031,1,1,1,238,0231,T006,4,2013-07-04,-,7,1,6,-,-,,,,,"1)Size 2500X6000X25 MM THK-04 Nos 
2)Size 2500X6000X18 MM thk-03 Nos",0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
44,2013-07-02,10:36:05 AM,Sapl0031,1,1,1,233,0226,H001,1,2013-07-02,-,6,2,6,-,-,,,,,-,1,Sapl0013,2013-07-02,10:38:57 AM,1,Sapl0013,2013-07-02,10:39:27 AM,1,Sapl0013,2013-07-02,10:39:59 AM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
45,2013-07-05,11:10:14 AM,Sapl0031,1,1,0,242,0235,P015,2,2013-07-05,-,18,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
46,2013-07-05,3:02:03 PM,Sapl0031,1,1,0,242,0235,P015,2,2013-07-05,-,18,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",1,1,-,
47,2013-07-01,5:38:03 PM,Sapl0031,1,1,0,230,0224,V001,2,2013-07-01,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
48,2013-07-05,3:25:54 PM,Sapl0031,1,1,0,243,0236,K001,1,2013-07-05,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
49,2013-07-08,11:09:34 AM,Sapl0031,1,1,0,256,0248,H001,1,2013-07-08,-,6,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
50,2013-07-02,10:55:41 AM,Sapl0031,1,1,0,235,0228,S010,2,2013-07-02,-,8,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
51,2013-07-01,5:22:55 PM,Sapl0031,1,1,0,229,0223,S010,2,2013-07-01,-,8,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
52,2013-06-12,10:32:49 AM,Sapl0013,1,1,0,146,0141,S010,5,2013-06-12,-,10,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
53,2013-06-28,11:03:45 AM,Sapl0031,1,1,0,222,0216,K009,1,2013-06-28,-,2,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
54,2013-07-09,1:37:58 PM,Sapl0031,1,1,0,268,0260,S042,5,2013-07-09,-,8,2,6,-,-,,,,,-,0,,,,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
55,2013-06-29,12:15:00 PM,Sapl0031,1,1,0,226,0220,H001,1,2013-06-29,-,6,2,6,-,-,,,,,-,1,Sapl0013,2013-07-03,10:09:38 AM,1,Sapl0013,2013-07-03,10:10:10 AM,1,Sapl0013,2013-07-03,10:10:41 AM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
56,2013-07-06,4:12:38 PM,Sapl0031,1,1,0,255,0247,L001,1,2013-07-06,-,6,2,6,-,-,,,,,-,1,Sapl0013,2013-07-09,11:49:01 AM,1,Sapl0013,2013-07-09,11:49:55 AM,1,Sapl0013,2013-07-09,11:51:46 AM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
57,2013-06-21,10:46:19 AM,Sapl0031,1,1,0,181,0175,T004,1,2013-06-21,-,6,1,6,-,-,,,,,-,1,Sapl0013,2013-07-09,5:21:16 PM,1,Sapl0013,2013-07-09,5:23:10 PM,1,Sapl0013,2013-07-09,5:24:01 PM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
58,2013-07-11,11:35:56 AM,Sapl0031,1,1,0,274,0266,H001,1,2013-07-11,-,6,2,6,-,-,,,,,-,1,Sapl0013,2013-07-11,11:40:10 AM,1,Sapl0013,2013-07-11,11:40:41 AM,1,Sapl0013,2013-07-11,11:41:11 AM,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
59,2013-07-15,12:08:48 PM,Sapl0031,1,1,0,283,0275,H001,1,2013-07-15,-,6,2,6,-,-,,,,,-,1,Sapl0013,2013-07-15,12:12:24 PM,0,,,,0,,,,"GUT NO. 205, KASURDI ,KHED SHIVAPUR - SASWAD ROAD (NEAR PUNE-BANGLORE HIGHWAY), TQ.- BHOR  Pune Maharashtra India PIN No.-412205 Ph No.-+91-9881147037 Fax No.-+91-2113-281800 Email No.-info@synergytechs.com",0,1,-,
