POId,SysDate,SysTime,SessionId,CompId,FinYearId,CustomerId,QuotationNo,PONo,PODate,POReceivedDate,VendorCode,PaymentTerms,PF,VAT,Excise,Octroi,Warrenty,Insurance,Transport,NoteNo,RegistrationNo,Freight,Remarks,CST,Validity,OtherCharges,FileName,FileSize,ContentType,FileData,EnqId
21,2013-04-09,5:00:12 PM,Sapl0005,1,1,C012,0,IND2350830,2012-12-13,2012-12-13,-,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,0,,,,,16
22,2013-04-09,5:18:25 PM,Sapl0005,1,1,T002,0,9000025135,2013-03-05,2013-03-07,S83470,90% against material receipt & acceptance & balance10%       within 60 days after commissioning,INCLUSIVE,12.5%,12.36%,TML A/C,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,0,,,,,17
23,2013-04-09,5:25:17 PM,Sapl0005,1,1,M005,0,A007/A72/3200057494,2013-03-12,2013-03-14,CS2782,50% alongwith tooling kick off 25% after sample approval 15% after buy off at Tool maker 10% after buy off at Tier 1 supplier,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,18
24,2013-04-10,10:07:13 AM,Sapl0005,1,1,S020,0,SI/SP/03.07/11-12,2012-03-13,2012-03-13,-,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,19
25,2013-04-10,10:26:27 AM,Sapl0005,1,1,M005,0,A007/A72/3200054745,2013-01-15,2013-01-16,CS2782,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,20
26,2013-04-10,10:29:21 AM,Sapl0005,1,1,M005,0,A007/A6V/3200055226,2013-01-25,2013-01-25,CS2782,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,21
27,2013-04-10,10:31:59 AM,Sapl0005,1,1,M005,0,A007/A6M/3200055240,2013-01-25,2013-01-25,CS2782,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,22
28,2013-04-10,12:29:40 PM,Sapl0005,1,1,M005,0,A007/A72/3200054203,2013-01-02,2013-01-08,CS2782,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,23
29,2013-04-10,12:40:45 PM,Sapl0005,1,1,C002,0,10297819,2013-04-10,2013-04-10,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,-,-,-,-,,,,,24
30,2013-04-24,12:42:18 PM,Sapl0005,1,1,M018,0,13-14_Z-0032,2013-04-09,2013-04-09,S678,"20% ADVANCE WITH PO, 70%  AGAINST PI, OF 30 DAYS PDC BEFORE DELIVERY, BALANCE 10% AGAINST INSTALLATION",INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,25
31,2013-04-12,3:41:56 PM,Sapl0005,1,1,C002,0,10295049,2013-03-13,2013-03-13,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,-,-,-,-,,,,,26
32,2013-04-12,3:56:09 PM,Sapl0005,1,1,C002,0,10295716,2013-03-20,2013-03-21,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,27
33,2013-05-02,4:24:11 PM,Sapl0005,1,1,C002,0,10295141,2013-03-14,2013-03-26,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,-,-,-,-,,,,,28
34,2013-04-13,10:15:09 AM,Sapl0005,1,1,T013,0,2840003860,2013-02-16,2013-02-16,S83470,100% against delivery,INCLUSIVE,2% against C form,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,29
41,2013-04-15,2:16:34 PM,Sapl0005,1,1,C002,0,10298228,2013-04-15,2013-04-15,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,30
42,2013-04-16,9:40:15 AM,Sapl0005,1,1,M018,0,13-14_Z-0071,2013-04-15,2013-04-15,S678,"20% ADVANCE WITH PO, 70%  AGAINST PI, OF 30 DAYS PDC BEFORE DELIVERY, BALANCE 10% AGAINST INSTALLATION",INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,31
43,2013-04-16,5:25:57 PM,Sapl0005,1,1,C002,0,10298378,2013-04-16,2013-04-16,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,32
44,2013-06-11,1:57:10 PM,Sapl0005,1,1,A017,0,2803500116,2013-04-16,2013-04-17,CS00367,AS PER PO,INCLUSIVE,2% against C form,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,33
45,2013-04-18,10:24:35 AM,Sapl0005,1,1,C011,0,IND2376424,2013-01-17,2013-01-18,160344,"40% ADVANCE AGAINST BG, 50% AGAINST TRIAL, INSPECTION AT SUPPLIER END & RECEIPT OF MATRIAL AT SITE, 10% AGAINST INSTALLATION & COMMISSIONING AT SITE AGAINST PBG",INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,34
46,2013-04-18,11:08:28 AM,Sapl0005,1,1,C004,0,IND2425190,2013-03-12,2013-03-12,-,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,-,-,-,-,,,,,35
47,2013-06-11,9:09:18 AM,Sapl0005,1,1,M013,0,3200058160,2013-03-23,2013-03-23,CS2782,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,36
48,2013-04-22,9:43:09 AM,Sapl0005,1,1,C002,0,10298796,2013-04-19,2013-04-22,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,37
49,2013-04-22,1:44:04 PM,Sapl0005,1,1,C002,0,10298977,2013-04-22,2013-04-22,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,38
50,2013-04-22,2:34:50 PM,Sapl0005,1,1,C002,0,10299001,2013-04-22,2013-04-22,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,39
51,2013-04-23,11:31:59 AM,Sapl0005,1,1,A021,0,7013000308,2013-04-20,2013-04-22,1001336,100% against delivery,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,40
52,2013-04-24,9:59:24 AM,Sapl0005,1,1,S006,0,VERBAL,2013-04-24,2013-04-24,-,AS PER PO,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,42
53,2013-04-24,11:10:47 AM,Sapl0005,1,1,A021,0,7013000349,2013-04-24,2013-04-24,1001336,AS PER PO,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,41
54,2013-04-27,11:05:21 AM,Sapl0005,1,1,M001,0,3100244928,2013-04-10,2013-04-26,CS2782,64 days from receipt of material,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,43
55,2013-04-27,3:25:05 PM,Sapl0005,1,1,S006,0,VERBAL1,2013-04-27,2013-04-27,-,AS PER PO,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,44
56,2013-04-30,9:16:42 AM,Sapl0005,1,1,C002,0,10299526,2013-04-26,2013-04-26,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,45
57,2013-04-29,10:31:26 AM,Sapl0005,1,1,S019,0,U1SR11304000001,2013-04-22,2013-04-22,S0162,AFTER 30 DAYS,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,46
58,2013-04-30,10:35:54 AM,Sapl0005,1,1,C002,0,10299741,2013-04-30,2013-04-30,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,47
59,2013-05-04,9:30:27 AM,Sapl0005,1,1,C002,0,10300005,2013-05-03,2013-05-03,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,48
60,2013-05-07,12:08:30 PM,Sapl0005,1,1,S006,0,verb,2013-05-07,2013-05-07,-,AS PER PO,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,49
61,2013-05-08,1:48:08 PM,Sapl0005,1,1,C002,0,10300400,2013-05-08,2013-05-08,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,50
62,2013-05-16,5:15:33 PM,Sapl0005,1,1,N002,0,4300010120,2013-05-15,2013-05-16,102662,AS PER PO,INCLUSIVE,2% against C form,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,51
63,2013-05-16,2:18:36 PM,Sapl0005,1,1,C002,0,10301330,2013-05-15,2013-05-15,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,52
64,2013-05-16,2:38:27 PM,Sapl0005,1,1,C002,0,10301393,2013-05-16,2013-05-16,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,53
65,2013-06-19,1:38:15 PM,Sapl0005,1,1,G011,0,GI/13-14/PO/75,2013-05-16,2013-06-19,-,60 days credit,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,54
66,2013-06-11,1:53:35 PM,Sapl0005,1,1,A017,0,2803500132,2013-05-16,2013-05-17,CS00367,AS PER PO,INCLUSIVE,2% against C form,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,55
67,2013-05-17,4:21:20 PM,Sapl0005,1,1,C002,0,10301300,2013-05-15,2013-05-17,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,56
68,2013-05-18,2:19:05 PM,Sapl0005,1,1,C002,0,10300694,2013-05-09,2013-05-17,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,57
69,2013-05-20,1:47:10 PM,Sapl0005,1,1,C002,0,10301744,2013-05-20,2013-05-20,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,58
70,2013-05-20,2:01:25 PM,Sapl0005,1,1,C002,0,10301760,2013-05-20,2013-05-20,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,59
71,2013-05-21,4:23:06 PM,Sapl0005,1,1,J013,0,4300010160,2013-05-20,2013-05-20,102662,"90% ON DELIVERY, 10 % ON COMMISSIONING",INCLUSIVE,2% against C form,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,60
72,2013-05-22,4:34:01 PM,Sapl0005,1,1,S011,0,PUOR13000690,2013-05-22,2013-05-22,-,15 DAYS FROM GR,INCLUSIVE,-,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,0,-,2% against C form,0,0,,,,,61
73,2013-06-10,12:04:51 PM,Sapl0005,1,1,M001,0,3100255796,2013-05-24,2013-05-31,CS2782,64 days from receipt of material,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,-,-,-,-,,,,,62
74,2013-05-23,10:34:06 AM,Sapl0005,1,1,C002,0,10302181,2013-05-22,2013-05-22,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,63
75,2013-05-24,12:15:01 PM,Sapl0005,1,1,M001,0,3100255148,2013-05-22,2013-05-24,CS2782,64 days from date of receipt,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,64
76,2013-05-25,10:15:33 AM,Sapl0005,1,1,C002,0,10302482,2013-05-24,2013-05-24,809727,90 days,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,65
77,2013-06-17,9:46:22 AM,Sapl0005,1,1,P001,0,3170029296,2013-06-03,2013-06-11,-,AS PER PO,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,Inclusive,Prices are inclusive of installation charges at site.,-,0,0,,,,,66
78,2013-05-28,9:29:03 AM,Sapl0005,1,1,A015,0,PO113000247,2013-05-26,2013-05-26,-,07 days from the date of material receipt,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,67
79,2013-05-29,12:20:10 PM,Sapl0005,1,1,P001,0,3170029157,2013-05-26,2013-05-29,IN00032365,"15% ADVANCE ALONG WITH PO, 30% AGAINST DAP, 40% AGAINST RECEIPT OF MATERIAL WITH 100% INCLUDING TAXES, 15%  AFTER SUCCESSFUL COMMISSIONING",INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,68
80,2013-06-05,4:42:04 PM,Sapl0005,1,1,M001,0,3100258148,2013-06-04,2013-06-05,-,AS PER PO,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,70
81,2013-06-05,5:11:53 PM,Sapl0005,1,1,M001,0,3100258150,2013-06-04,2013-06-05,CS2782,30 days from date of receipt,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,71
82,2013-06-06,9:26:54 AM,Sapl0005,1,1,G014,0,GI/13-14/PO/106,2013-06-04,2013-06-04,-,90 days LC,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,by courier,-,-,-,,-,-,-,,,,,69
83,2013-06-10,11:27:11 AM,Sapl0005,1,1,M001,0,3100258842,2013-06-07,2013-06-10,CS2782,64 days from date of receipt,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,72
84,2013-06-08,11:21:40 AM,Sapl0005,1,1,P001,0,3170029230,2013-05-31,2013-06-08,IN00032365,"20% ADVANCE ALONG WITH PO AGAINST PI AGAINST 6 MONTHS BANK GUARANTEE, 20% AGAINST DAP OF ALL ITEMS ON  & BEFORE 15 JUNE, 50%+100% TAXES AFTER RECEIPT OF MATERIAL ON & BEFORE 31ST AUG, 10% AGAINST TRYOUT & COMMISSIONING AND WELDING",INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,73
85,2013-06-11,2:01:20 PM,Sapl0005,1,1,A017,0,2803500138,2013-05-18,2013-05-23,CS00367,100% against delivery,INCLUSIVE,2% against C form,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,-,-,-,-,,,,,74
86,2013-06-12,11:14:18 AM,Sapl0005,1,1,C002,0,10304333,2013-06-12,2013-06-12,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,75
87,2014-10-18,11:08:33 AM,Sapl0005,1,2,M009,0,3100316801,2014-01-23,2014-09-25,PS00374,"15% ADVANCE ALONG WITH PO, 30% AGAINST DAP, 40% AGAINST RECEIPT OF MATERIAL WITH 100% INCLUDING TAXES, 15%  AFTER SUCCESSFUL COMMISSIONING",INCLUSIVE,12.5%,10.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,0.0,application/octet-stream,,76
88,2013-12-30,11:31:06 AM,Sapl0005,1,1,K007,0,2411402339,2013-08-10,2013-08-11,1V103391,80% against delivery & 20% retention,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,0.0,application/octet-stream,,77
89,2014-10-18,11:15:22 AM,Sapl0005,1,2,M008,0,3200071537,2014-01-23,2014-09-25,PS00374,AS PER PO,INCLUSIVE,2% against C form,10.36%,-,12 MONTHS FROM DATE OF COMMISSIONING OR 18 MONTHS FROM THE DATE OF DISPATCH.,-,ROAD,-,-,-,,-,-,-,,0.0,application/octet-stream,,78
90,2014-10-18,11:20:09 AM,Sapl0005,1,2,M008,0,3200074448,2014-03-21,2014-09-25,PS00374,AS PER PO,INCLUSIVE,2% against C form,10.36%,-,-,-,ROAD,-,-,-,,-,-,-,,0.0,application/octet-stream,,79
91,2014-12-08,10:07:10 AM,Sapl0005,1,2,M008,0,3200082136,2013-09-25,2014-08-21,PS00374,AS PER PO,INCLUSIVE,2% against C form,10.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,0.0,application/octet-stream,,80
92,2013-06-18,11:02:11 AM,Sapl0005,1,1,M003,0,MUSCO5,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,81
93,2013-06-18,11:45:41 AM,Sapl0005,1,1,M003,0,MUSCO6,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,82
94,2013-06-18,11:52:18 AM,Sapl0005,1,1,M003,0,MUS,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,82
95,2013-06-18,11:53:33 AM,Sapl0005,1,1,M003,0,MUS1,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,83
96,2013-06-18,11:54:55 AM,Sapl0005,1,1,M003,0,MUS2,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,84
97,2013-06-18,12:28:14 PM,Sapl0005,1,1,M003,0,MUS3,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,85
98,2013-06-18,12:40:19 PM,Sapl0005,1,1,M003,0,MUSC4,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,86
99,2013-06-18,12:41:30 PM,Sapl0005,1,1,M003,0,MUSC5,2013-06-18,2013-06-18,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,87
100,2013-06-19,9:30:35 AM,Sapl0005,1,1,M003,0,MUSC6,2013-06-19,2013-06-19,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,88
101,2013-06-19,9:43:49 AM,Sapl0005,1,1,M003,0,MUSC7,2013-06-19,2013-06-19,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,89
102,2013-06-19,1:56:27 PM,Sapl0005,1,1,C002,0,10304970,2013-06-18,2013-06-19,809727,90 DAYS,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,90
103,2013-06-20,9:15:02 AM,Sapl0005,1,1,C002,0,10305211,2013-06-19,2013-06-19,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,91
104,2013-06-20,4:22:55 PM,Sapl0005,1,1,C002,0,10305328,2013-06-20,2013-06-20,809727,90 DAYS,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,92
105,2013-06-21,1:42:41 PM,Sapl0005,1,1,C002,0,10305450,2013-06-21,2013-06-21,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,93
106,2013-06-25,11:05:49 AM,Sapl0005,1,1,P011,0,200221,2013-06-21,2013-06-21,MS031,AGAINST DELIVERY,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,94
107,2013-06-25,11:06:15 AM,Sapl0005,1,1,P011,0,200222,2013-06-21,2013-06-21,MS031,AGAINST DELIVERY,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,95
108,2013-06-29,9:53:16 AM,Sapl0005,1,1,C002,0,10305423,2013-06-21,2013-06-21,809727,90 days,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,96
109,2013-06-22,10:06:41 AM,Sapl0005,1,1,T002,0,9000025816,2013-06-21,2013-06-21,S83470,90% against material receipt & acceptance & balance10% within 60 days after commissioning .,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,TO SAPL A/C,ROAD,-,-,-,,-,-,-,,,,,97
110,2013-06-22,11:27:24 AM,Sapl0005,1,1,S011,0,PUOR13001147,2013-06-21,2013-06-21,-,15 DAYS FRM GR,INCLUSIVE,2% against C form,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,98
111,2013-06-29,12:28:28 PM,Sapl0005,1,1,C002,0,60009748,2013-06-28,2013-06-28,809727,30 days,INCLUSIVE,-,12.36%,-,-,-,-,-,-,-,,-,-,-,,,,,99
112,2013-06-29,12:38:02 PM,Sapl0005,1,1,C002,0,10306308,2013-06-28,2013-06-28,809727,30 days,INCLUSIVE,12.5%,12.36%,-,-,-,-,-,-,-,,-,-,-,,,,,100
113,2013-07-02,10:01:51 AM,Sapl0005,1,1,S006,0,v1,2013-07-02,2013-07-02,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,101
114,2013-07-03,9:12:14 AM,Sapl0005,1,1,S011,0,PUOR13001361,2013-07-02,2013-07-02,-,15 DAYS FROM GR,INCLUSIVE,2% against C form,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,by courier,-,-,-,,-,-,-,,,,,102
115,2013-07-08,10:40:52 AM,Sapl0005,1,1,G015,0,GP/SA/13 14/037-IV,2013-07-02,2013-07-02,-,100% AGAINST PI,INCLUSIVE,12.5%,12.36%,-,12 MONTHS FROM DATE OF DISPATCH,-,ROAD,-,-,-,,-,-,-,,,,,104
116,2013-07-08,12:32:24 PM,Sapl0005,1,1,W003,0,0116/M/P6/13-14,2013-07-06,2013-07-06,-,100% AGAINST DELIVERY,INCLUSIVE,12.5%,12.36%,NA,12 MONTHS FROM DATE OF DISPATCH,NA,ROAD,-,-,-,,-,-,-,,,,,105
