EnqId,SysDate,SysTime,SessionId,CompId,FinYearId,CustomerId,CustomerName,RegdAddress,RegdCountry,RegdState,RegdCity,RegdPinNo,RegdContactNo,RegdFaxNo,WorkAddress,WorkCountry,WorkState,WorkCity,WorkPinNo,WorkContactNo,WorkFaxNo,MaterialDelAddress,MaterialDelCountry,MaterialDelState,MaterialDelCity,MaterialDelPinNo,MaterialDelContactNo,MaterialDelFaxNo,ContactPerson,JuridictionCode,Commissionurate,TinVatNo,Email,EccNo,Divn,TinCstNo,ContactNo,Range,PanNo,TDSCode,Remark,EnquiryFor,Flag,POStatus
16,2013-04-09,4:55:14 PM,Sapl0005,1,1,C012,CUMMINS TECHNOLOGIES INDIA LIMITED - RECON INDIA,"RECON INDIA, 7th FLOOR - B WING : DOWN TOWN - THE CITY CENTER (DTC) : S.NO. 8+ 1, NEAR MHATRE BRIDGE, PUNE",1,21,405,411004,+91-020-66002400,+91-020-66002400,"PLOT NO. A-1, MIDC SURWADI, - PHALTAN-LONAND ROAD - PHALTAN",1,21,405,-,-,-,"PLOT NO. A-1, MIDC SURWADI, - PHALTAN-LONAND ROAD - PHALTAN",1,21,405,415522,+91-02138-399000,+91-02138-399098,SARANG PATEKAR,-,-,-,sarang.patekar@cummins.com,-,-,-,+91 8888848018,-,-,-,-,MANUAL TOD REQUIRED IN CYLINDER HEAD LINE FOR VALVE ASSEMBLY -1,1,1
17,2013-04-09,5:12:48 PM,Sapl0005,1,1,T002,TATA MOTORS LTD ,MPLP PIMPRI PLANT,1,21,405,411018,-,-,MPLP PIMPRI PLANT,1,21,405,411018,-,-,MPLP PIMPRI PLANT,1,21,405,411018,-,-,-,-,-,27390247811V DT.01/04/08,asdfg@tatamotors.com,"PIMPRI - AACT2727QXM003, CHINCHWAD - AAACT2727QXM007",-,27390247811C DT.01/04/08,-,-,-,-,-,Overhead Transfer for SFC 407 Partial Body - 3,1,1
18,2013-04-09,5:22:11 PM,Sapl0005,1,1,M005,"MAHINDRA & MAHINDRA LTD.,CHAKAN ","Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,1,21,405,-,-,-,"Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,-,-,-,sdfh@fg.com,-,-,-,-,-,-,-,-,MULTI SPOT WELDING SPM,1,1
19,2013-04-10,10:03:22 AM,Sapl0005,1,1,S020,SPECTRUM INDUSTRIES ,"C-12 / 2A, TARAPUR ROAD, NEAR FLYOVER, TARAPUR M.I.D.C. AREA, BOISAR",1,21,412,401506,91-2224384155 / 4255,91-2224384555,"C-12 / 2A, TARAPUR ROAD, NEAR FLYOVER, TARAPUR M.I.D.C. AREA, BOISAR",1,21,412,401506,91-2224384155 / 4255,91-2224384555,"C-12 / 2A, TARAPUR ROAD, NEAR FLYOVER, TARAPUR M.I.D.C. AREA, BOISAR",1,21,412,401506,91-2224384155 / 4255,91-2224384555,Jayesh Tale,-,-,27870399255V,drtg@fh.fg,AGRPM 6687QEM 003,-,27870399255C,91-9819482348,-,-,-,-,WELDING FIXTURES OF HEPA ASSEMBLY - 1,1,1
20,2013-04-22,10:04:40 AM,Sapl0005,1,1,M005,"MAHINDRA & MAHINDRA LTD.,CHAKAN ","Automotive Sector
Chakan, 
Dist Pune - 410 510",1,21,405,410501,-,-,-,1,21,405,-,-,-,"Automotive Sector
Chakan, 
Dist Pune - 410 510",1,21,405,410501,-,-,-,-,-,27750410573V  W.E.F. 01.04.2006,sdfh@fg.com,AAFCM1217MXM001,-,27750410573C  W.E.F. 01.04.2006,-,-,AAACM3025E,-,-,ASSY PANEL PLENUM INNER CHECKING FIXTURE - 1,1,1
21,2013-04-10,10:21:04 AM,Sapl0005,1,1,M005,"MAHINDRA & MAHINDRA LTD.,CHAKAN ","Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,1,21,405,-,-,-,"Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,-,-,-,sdfh@fg.com,-,-,-,-,-,-,-,,"ASSY SUSPENSION TOWER LH -1,
ASSY SUSPENSION TOWER FRONT RH - 1",1,1
22,2013-04-10,10:23:06 AM,Sapl0005,1,1,M005,"MAHINDRA & MAHINDRA LTD.,CHAKAN ","Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,1,21,405,-,-,-,"Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,-,-,-,sdfh@fg.com,-,-,-,-,-,-,-,-,"ASSY FRONT END SIDE RAIL INNER RH -1,
ASSY FRONT END SIDE RAIL INNER LH - 1.",1,1
23,2013-04-10,12:20:16 PM,Sapl0005,1,1,M005,"MAHINDRA & MAHINDRA LTD.,CHAKAN ","Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,1,21,405,-,-,-,"Mahindra Vehicle Manufacturers Limited,Plot no. A-1,Chakan MIDC Phase-IV, tal.-Khed",1,21,405,410501,-,-,-,-,-,-,sdfh@fg.com,-,-,-,-,-,-,-,,"Assy Frt cradle RR mtg assy Lh - 1,
Assy Frt cradle RR mtg assy Rh - 1",1,1
24,2013-04-10,12:35:43 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,,"3043-01-06-PIN-3,
3043-01-11-TROLLY-1,
3043-01-12-BRACKET-1,
3043-01-13-HANDLE 1-1,
3043-01-14 HANDLE 2 -1,
3043-01-21-BUSH -4,
3043-01-22-PLATE -4",1,1
25,2013-04-24,12:39:36 PM,Sapl0005,1,1,M018,MASTER ZIPPEL CLEANING SYSTEMS PVT. LTD. ,"GAT NO. 307, KONDHAPURI,PUNE-NAGAR ROAD,TAL - SHIRUR",1,21,405,412209,"+91-02137-617447,61745",-,"GAT NO. 307, KONDHAPURI,PUNE-NAGAR ROAD,TAL - SHIRUR",1,21,405,412209,"+91-02137-617447,61745",-,"GAT NO. 307, KONDHAPURI,PUNE-NAGAR ROAD,TAL - SHIRUR",1,21,405,412209,"+91-02137-617447,61745",-,Nagesh Jadhav,-,-,27730763276V w.e.f:25/03/2010,info@masterzippel.com,AAGCM0004KEM001,-,27730763276C w.e.f:25/03/2010,+91 90110 42521,-,-,-,-,"OVERHEAD RAIL TYPE C-63 - 0.7MTR,
OVERHEAD RAIL TYPE C-63 - 1.5MTR,
OVERHEAD RAIL TYPE C-63 - 3.5MTR,
OVERHEAD RAIL CURVED TRACK TYPE-C63 BENDING ANGLE -90 DEG, BENDING RADIUS-1.2 MTR, MAKE SLIDO - 2NOS.
TROLLEY SET FOR CURVED RAIL - 1NO.",1,1
26,2013-04-12,3:39:11 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,-,"PLC PANEL (FOR TVS)-1,
PLC PANEL (FOR TVS)-1",1,1
27,2013-04-12,3:51:48 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,,"PLC CONTROL PANEL -1,
PLC CONTROL PANEL-1,
PLC PANEL ASSY MF LINE-1,
PLC PANEL ASSY RUB LINE -1",1,1
28,2013-04-12,4:23:23 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,-,"5102-ET- LA-03-01-TROLLEY FRAME -1,
5102-ET-FB-11-02-TROLLEY FRAME -1,
5102-ET-FP-13-03-TROLLEY FRAME-1,
5102-ET-MFL-01-TROLLEY FRAME -,
5102-ET-BP-02-02-TROLLEY FRAME -1,
5102ET-BS19/20-06-6-TROLLEY-2,
5102ET-RF01-06-6-TROLLEY -1,
5102ET-BS27-01-TROLLEY -2",1,1
29,2013-04-13,9:35:48 AM,Sapl0005,1,1,T013,"TATA MOTORS LTD.,DHARWAD ","PIMPRI,",1,21,405,411 018,020-66132227,-,"DHARWAD AUTO MATERIAL PLANT,BELUR INDUSTRIAL AREA",1,17,304,580011,-,-,"DHARWAD AUTO MATERIAL PLANT,BELUR INDUSTRIAL AREA",1,17,304,580011,-,-,MR.ABHIJIT SELUKAR,-,-,29220046257,saa98069@tatamotors.com,AAACT2727QXM002,-,40169716,-,-,-,-,-,"KEMPI 3146800 NECK ASSEMBLY -1,
KEMPI 4182500 SWITCH - 2,
KEMPI 9769142 CONTACT BUSH - 3,
KEMPI 9580122 CONTACT TIP 0,8/M8 -50,
KEMPI 4295760 GAS NOZEL STANDARD M8-L-76 - 10,
KEMPI 4294880 GAS DIFFUSER - 10,
KEMPI 3137900 CABLE SUPPORT TORCH END - 2,
KEMPI 6253043 PMT 30W MIG WELDING TORCH - 1,
KEMPI 6253044 PMT 30W 4.5M MIG WELD TORH -1,
KEMPI 9771591 MACHINE SOCKET 70 MALE -2,
KEMPI SP000745 MOTOR /GERBOX KPKFM4 -1,
KEMPI W000627 ADJ LEVER KNOB KFM2 /4MM -3,
KEMPI W000626 PRESS LEVER F ADJ LEVER -3,
KEMPI W000613 SOLENOID VALVE -1,
KEMPI SP003508 A001 MXF 63/65 -1,
KEMPI SP001349 AMPLIFIER CARD KFM4 -1,
KEMPI W000632 PRESS LEVER 2 KMF4 ALUMINI -1,
KEMPI W001047 FEED ROLL 8/1 KFM2/4 WHITE -2,
KEMPI W001048 FEED ROLL 8/2 KFM2/4 WHITE -2,
KEMPI 3152750 AUX TRANS KM/KMS 300,400 - 1,
KEMPI 9767892 TERMINAL BLOCK 12 -1,
KEMPI SP001205 CAPACITOR CARD Z002KM -1,
KEMPI SP001206 SECONDARY CARD Z003 KM -1,
KEMPI W001184 CHOKE KM/KMS 300-500 - 1",1,1
30,2013-04-15,2:05:35 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,-,RISER_CR-251_198301-127 - 1no.,1,1
31,2013-04-16,9:32:33 AM,Sapl0005,1,1,M018,MASTER ZIPPEL CLEANING SYSTEMS PVT. LTD. ,"GAT NO. 307, KONDHAPURI,PUNE-NAGAR ROAD,TAL - SHIRUR",1,21,405,412209,"+91-02137-617447,61745",-,"GAT NO. 307, KONDHAPURI,PUNE-NAGAR ROAD,TAL - SHIRUR",1,21,405,412209,"+91-02137-617447,61745",-,"GAT NO. 307, KONDHAPURI,PUNE-NAGAR ROAD,TAL - SHIRUR",1,21,405,412209,"+91-02137-617447,61745",-,Nagesh Jadhav,-,-,27730763276V w.e.f:25/03/2010,info@masterzippel.com,AAGCM0004KEM001,-,27730763276C w.e.f:25/03/2010,+91 90110 42521,-,-,-,,"OVERHEAD RAIL TYPE C63,- 10.5MTR,
TROLLEY SET FOR XY RAIL TYPE C63 - 1NO.",1,1
32,2013-04-16,4:54:44 PM,Sapl0005,1,1,C002,COMAU INDIA PVT LTD ,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,405,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,,"RISERS - 146,
SHIM - 620",1,1
33,2013-04-16,5:51:59 PM,Sapl0005,1,1,A017,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LTD. ,"S.No. 173,Village - Khakharia,Tal. - Savali,Dist. Vadodara, HALOL-391510",1,12,165,391510,91-2667-288042,-,"S.No. 173,Village - Khakharia,Tal. - Savali,Dist. Vadodara,HALOL-391510",1,12,165,391510,91-2667-288042,-,"S.No. 173,Village - Khakharia,Tal. - Savali,Dist. Vadodara, HALOL-391510",1,12,165,391510,91-2667-288042,-,Mr. T.S.Rao,-,"VADODARA II, SUBHANPURA",24192100315V,TS.Rao@autostampings.com,AAACJ2116MXM001,-,24192100315C,09881060286,(I) GTC COMPOUND VADODARA,AAACJ2116M,-,,SUPPLY SET OF 2.5M CROSS RAIL WITH TROLLEYS - 7,1,1
34,2013-04-18,10:15:22 AM,Sapl0005,1,1,C011,CUMMINS INDIA LTD. ,"PLOT NO. B-2,PHALTAN SEZ INDUSTRIAL AREA,VILLAGE-NANDAL AND SURAWADI,TAL. PHALTAN,SATARA.",1,21,409,415523,+1 (877) 3774357,25632365,"PLOT NO. B-2,PHALTAN SEZ INDUSTRIAL AREA,VILLAGE-NANDAL AND SURAWADI,TAL. PHALTAN,SATARA.",1,21,409,415523,+1 (877) 3774357,25632365,"PLOT NO. B-2,PHALTAN SEZ INDUSTRIAL AREA,VILLAGE-NANDAL AND SURAWADI,TAL. PHALTAN,SATARA.",1,21,409,415523,+1 (877) 3774357,25632365,SANDIP BHADANE,-,-,27410344315V dated 1 April 2006,sandip.v.bhadane@cummins.com,-,-,27410344315C dated 1 April 2006,9922434636,-,-,-,,"LONG RAIL 3.5MTRS WITH ITS ACCESSORIES-40, CROSS RAIL 3MTRS WITH ITS ACCESSORIES -20,
HOIST 2 TON APPLICATION ENGINE MOUNTING -2,
CONTROL PANEL ASSEMBLY MANIPULATOR WEIGHT 40 - 80KG -2,
BATTERY MANIPULATOR WEIGHT CARRYING FROM 40-50KG -2,
HOIST 250KG & ITS ACCESSORIES -6,
BOOM ASSEMBLY WITH TROLLEY APPLICATION -6,
STRUCTURE - ISMB 150-30 MTRS -8,
STRUCTURE - MOUNTING PLATE- 500KG PER LINE - 1000,
LONG RAIL 3.5MTRS WITH ITS ACCESSORIES -8,
CROSS RAIL 6MTRS WITH ITS ACCESSORIES -4,
ELECTRICAL CONTROL PANEL & CABLING -2",1,1
35,2013-04-18,11:04:55 AM,Sapl0005,1,1,C004,CUMMINS INDIA LIMITED ,KOTHRUD,1,21,405,411038,25385435 EXT - 3135,-,KOTHRUD,1,21,405,411038,25385435 EXT - 3135,-,KOTHRUD,1,21,405,411038,25385435 EXT - 3135,-,MR. ADESH SHETH,-,-,27410344315/V DT 01/04/06,adesh.a.sheth@cummins.com,AAACC7258BXM001,-,27410344315/C DT 01/04/06,9822634950,-,-,-,,CYLINDER BLOCK MOUNTING BOLTS HIGH TENSILE BOLT 3/4  UNC X 15  LENGTH - 12,1,1
36,2013-04-18,12:15:08 PM,Sapl0005,1,1,M013,MAHINDRA & MAHINDRA LTD. ,"M/S.MAHINDRA & MAHINDRA LTD.,CAPITAL PURCHASE DEPARTMENT,AUTOMOTIVE SECTOR,AKURLI ROAD,KANDIVLI (EAST)",1,21,398,4000 101,2887 4601,91-22-2887 6885,-,1,1,1,-,-,-,"M/S.MAHINDRA VEHICLE MANUFACTURERS LTD.,PLOT NO.A 1,PHASE IV,CHAKAN INDUSTRIAL AREA,KHED",1,21,405,410 501,-,-,MR.VIRAJ.R.CHAUDHARI,-,-,27670630322V,CHAUDHARI.VIRAJ@mahindra.com,AAFDM1217MXM001,-,27670630322C,9220555708,-,-,-,,AFM PINON & SHAFT-1,1,1
