Id,ProformaInvNo,InvDate,PONo,Amount,Particular,WithinGroup,WONo,BG,PVEVNO,BillAgainst,MId
209,216/00098 BNM,2013-06-08,"0125,",5860.0,-,,,,,,268
210,-,2013-08-19,"0402,",18874.0,-,,,,,,269
211,-,2013-08-29,"0458,",47418.0,-,,,,,,270
212,-,2013-09-19,"0393,",1688.0,-,,,,,,271
213,-,2013-09-20,"0586,",26447.0,-,,,,,,272
214,-,2013-10-07,"0733,",1553.0,-,,,,,,273
215,-,2013-09-28,"0652,",8400.0,-,,,,,,274
216,-,2013-10-24,"0359,",79265.0,-,,,,,,275
217,-,2013-10-24,"0824,",14479.0,-,,,,,,276
218,0103,2013-10-24,"0103,",787269.0,-,,,,,,277
219,-,2013-10-28,"0838,",3350.0,-,,,,,,278
220,-,2013-10-29,"0687,",11798.0,-,,,,,,279
221,-,2013-10-29,"0871,",5200.0,-,,,,,,280
222,-,2013-11-19,"0827,",6200.0,-,,,,,,281
223,-,2013-11-19,"0960,",30809.0,-,,,,,,282
225,-,2013-11-25,"0822,",4500.0,-,,,,,,284
226,-,2013-11-25,"0925,",2022.0,-,,,,,,285
227,-,2013-11-13,"0931,",5850.0,-,,,,,,286
228,-,2013-04-30,"0005,",4725.0,-,,,,,,287
230,-,2013-05-29,"0104,",12000.0,-,,,,,,289
232,000275,2013-05-17,"0060,",86517.0,-,,,,,,291
233,-,2013-06-19,"0151,",4950.0,-,,,,,,292
236,-,2013-06-29,"0210,",16763.0,-,,,,,,295
237,049,2013-05-28,"0063,",28720.0,-,,,,,,296
238,-,2013-06-03,"0072,",40302.0,-,,,,,,297
239,"01203,00976,00958",2013-07-10,"0012,0056,",13974.0,-,,,,,,298
240,2612,2013-06-16,"0132,0135,",33715.0,-,,,,,,299
241,-,2013-07-22,"0298,",1687.0,-,,,,,,300
242,295,2013-06-24,"0169,",19479.0,-,,,,,,301
243,-,2013-07-26,"0302,",45900.0,-,,,,,,302
244,000526,2013-07-29,"0218,",351520.0,-,,,,,,303
245,-,2013-07-29,"0246,",6988.0,-,,,,,,304
246,000302,2013-07-29,"0201,",50191.0,-,,,,,,305
247,-,2013-07-30,"0299,",16980.0,-,,,,,,306
248,-,2013-08-01,"0216,",9135.0,-,,,,,,307
249,-,2013-08-05,"0203,",21623.0,-,,,,,,308
250,-,2013-08-14,"0423,",1575.0,-,,,,,,309
251,00140,2013-07-12,"0267,",6582.0,-,,,,,,310
252,-,2013-08-16,"0268,",57537.0,-,,,,,,311
253,-,2013-07-13,"0622,",17859.0,-,,,,,,312
254,-,2013-06-21,"0155,",439593.0,-,,,,,,313
256,-,2013-08-23,"0407,",6200.0,-,,,,,,315
257,02409,2013-06-21,"0170,",15895.0,-,,,,,,316
259,N00595,2013-12-19,"0358,",73074.0,-,,,,,,318
260,-,2014-01-25,"1188,",5344.0,-,,,,,,319
262,"66,83",2013-10-07,"0607,0755,",435159.0,-,,,,,,321
263,73,2013-07-31,"0295,",26140.0,-,,,,,,322
264,612,2013-12-11,"1213,",14284.0,-,,,,,,323
265,1221,2013-12-20,"1221,",285000.0,-,,,,,,324
267,35,2013-11-22,"1004,",24300.0,10% advance,,,,,,327
268,AVS/015,2013-08-30,"0424,",13000.0,-,,,,,,328
269,1533,2013-08-07,"0379,",675.0,-,,,,,,329
270,AVS/2013-14/033,2013-12-14,"1134,",50000.0,-,,,,,,330
271,821,2013-11-19,"0821,",5859.0,-,,,,,,331
272,PEPL/13-14/1369,2013-12-17,"1010,",46415.0,-,,,,,,332
273,1190,2013-12-18,"1190,",30000.0,-,,,,,,333
274,1006,2013-11-22,"1006,",239335.0,-,,,,,,334
275,2612,2013-08-11,"0132,0135,",67429.0,-,,,,,,335
276,"DSI/219,220",2013-07-18,"0284,",232334.0,-,,,,,,336
277,1071,2013-11-27,"1071,",19541.0,-,,,,,,337
278,1178,2013-12-12,"1178,",761993.0,-,,,,,,338
279,1161,2013-12-09,"1161,",33750.0,-,,,,,,339
280,RDM006,2013-09-23,"0384,",12013.0,-,,,,,,340
281,-,2013-09-26,"0435,",20882.0,-,,,,,,341
282,-,2013-10-05,"0438,",55660.0,-,,,,,,342
283,-,2013-10-07,"0737,",3937.0,-,,,,,,343
284,-,2013-10-10,"0484,",101151.0,-,,,,,,344
285,SK/116,2013-10-11,"0498,",11999.0,-,,,,,,345
286,-,2013-10-11,"0637,",6265.0,-,,,,,,346
288,000992,2013-10-24,"0608,",61638.0,-,,,,,,348
289,01894,2013-09-24,"0587,",10202.0,-,,,,,,349
291,-,2013-11-05,"0648,",5469.0,-,,,,,,351
293,-,2013-11-09,"0731,",5940.0,-,,,,,,353
295,1273,2013-11-11,"0837,",8610.0,-,,,,,,355
296,-,2013-11-11,"0939,",1872.0,-,,,,,,356
297,05200,2013-12-01,"0542,",71960.0,-,,,,,,357
298,-,2013-12-01,"0495,0777,",141773.0,-,,,,,,358
300,004,2013-12-02,"1111,",2400.0,-,,,,,,360
301,555,2013-12-04,"0420,",303870.0,-,,,,,,361
302,-,2013-12-06,"1117,",3200.0,-,,,,,,362
303,-,2013-12-03,"1077,",2025.0,-,,,,,,363
304,-,2013-12-09,"1004,",169463.0,-,,,,,,364
305,-,2013-12-10,"1015,",13953.0,-,,,,,,365
306,-,2013-12-10,"1155,",7088.0,-,,,,,,366
307,-,2013-12-10,"1157,",585.0,-,,,,,,367
308,-,2013-12-10,"1162,",2900.0,-,,,,,,368
309,-,2013-12-11,"0868,",22479.0,-,,,,,,369
312,-,2013-12-11,"1130,",7099.0,-,,,,,,372
313,-,2013-12-12,"0849,",20160.0,-,,,,,,373
314,-,2013-12-12,"0849,",2755.0,-,,,,,,374
316,,2013-12-14,"1071,",19541.0,-,,,,,,376
318,129,2013-12-15,"0823,",101313.0,-,,,,,,378
319,106,2013-12-15,"0523,",7587.0,-,,,,,,379
320,-,2013-12-18,"0970,",30000.0,-,,,,,,380
321,-,2013-12-19,"0821,",5859.0,-,,,,,,381
322,-,2013-12-20,"0976,",31192.0,-,,,,,,382
324,-,2013-12-20,"1206,",17085.0,-,,,,,,384
325,4859,2013-12-21,"0434,",2511.0,-,,,,,,385
326,-,2013-12-21,"1221,",285000.0,-,,,,,,386
327,08237,2013-12-22,"0836,",2460.0,-,,,,,,387
328,-,2013-12-24,"1206,1219,",8842.0,-,,,,,,388
329,-,2013-12-24,"1225,",378000.0,-,,,,,,389
331,IDNS/AIR/NOV/112/2013,2013-12-25,"1218,",30637.0,-,,,,,,391
332,-,2013-12-25,"1213,",14284.0,-,,,,,,392
333,-,2013-12-25,"1279,",3100.0,-,,,,,,393
334,475,2013-12-30,"0623,",9450.0,-,,,,,,394
335,-,2013-12-30,"1161,",33750.0,-,,,,,,395
336,-,2013-06-25,"0104,",17181.0,-,,,,,,396
337,-,2013-12-05,"0104,",19230.0,-,,,,,,397
338,,,,1856.25,,,,,1295,180,398
339,,,,5040.0,,,,,213,4814,402
342,,,,6716.0,,,,,60,BE 02428,404
343,,,,2057.0,,,,,61,BE 02429,404
344,,,,3412.5,,,,,722,s0000221,406
345,,,,3613.35,,,,,41,HH/00032/13-14,408
346,,,,11313.0,,,,,133,HH/00052/13-14,408
348,,,,37921.5,,,,,5,21/26,411
349,,,,15929.99,,,,,496,372,412
350,,,,16529.62,,,,,779,385,412
351,,,,12780.0,,,,,504,33,413
352,,,,41951.25,,,,,506,29,413
353,,,,6530.0,,,,,768,138.,414
354,,,,1890.0,,,,,774,138.,414
355,,,,2544.0,,,,,933,145,414
356,,,,3030.0,,,,,936,146,414
357,,,,1035.0,,,,,937,144,414
358,,,,4635.0,,,,,938,141,414
359,,,,43443.0,,,,,693,105,416
360,,,,4837.5,,,,,694,106,416
361,,,,53052.18,,,,,287,1358,417
362,,,,16116.64,,,,,324,1308,417
363,,,,66436.19,,,,,465,1208,419
364,,,,55520.5,,,,,466,1209,419
365,,,,11005.88,,,,,351,44,420
366,,,,2103.75,,,,,352,46,420
367,,,,8673.75,,,,,579,45,420
368,,,,40500.0,,,,,985,0780/13-14,423
369,,,,54967.53,,,,,252,6613140228,424
370,,,,337.5,,,,,1094,3281,425
371,,,,5221.15,,,,,1112,092,426
372,,,,2334.37,,,,,1245,095,426
373,,,,4072.5,,,,,1246,094,426
374,,,,4961.25,,,,,247,4862,427
375,,,,759.66,,,,,296,4922,427
376,,,,19432.24,,,,,392,4986,427
377,,,,13210.88,,,,,401,1055,428
378,,,,3785.0,,,,,438,2341,429
379,,,,20000.0,,,,,811,LC/06,430
380,,,,32220.0,,,,,614,50,431
381,,,,50000.0,,,,,138,P00227,432
382,,,,4494.0,,,,,1327,2,433
383,,,,1182.5,,,,,1328,34,433
384,,,,7775.0,,,,,1331,133,433
385,,,,6748.0,,,,,1332,164,433
386,,,,9225.0,,,,,1333,224,433
387,,,,8750.0,,,,,1334,200,433
388,,,,6455.0,,,,,708,ME015,434
389,,,,6300.0,,,,,473,61,435
390,,,,3420.0,,,,,439,28,437
391,,,,5900.0,,,,,440,38,437
392,,,,29816.0,,,,,959,252,438
393,,,,5184.0,,,,,1516,172/2013,438
394,,,,8495.0,,,,,515,30,439
395,,,,4118.0,,,,,695,33,439
396,,,,3792.0,,,,,639,301,440
397,,,,6514.0,,,,,647,291,440
398,,,,4560.0,,,,,648,294,440
399,,,,7192.0,,,,,653,297,440
400,,,,3603.96,,,,,369,1252,442
401,,,,2629.8,,,,,398,1368,442
402,,,,25000.0,,,,,437,BOH/00091/2013,445
415,,,,700.0,,,,,165,318,447
416,,,,7500.0,,,,,166,310,447
417,,,,6000.0,,,,,167,317,447
418,,,,5000.0,,,,,169,390,447
419,,,,11000.0,,,,,171,388,447
420,,,,2500.0,,,,,172,387,447
421,,,,8000.0,,,,,325,338,447
422,,,,7000.0,,,,,326,339,447
423,,,,5000.0,,,,,327,341,447
424,,,,700.0,,,,,328,342,447
425,,,,2325.94,,,,,1348,SE/DC/252/2013-14,448
426,,,,33749.99,,,,,1502,RK/13-14/040,449
427,,,,19199.25,,,,,1465,346,450
428,,,,4800.0,,,,,814,0456,451
429,,,,1405.0,,,,,815,455,451
430,,,,6315.0,,,,,833,453,451
431,,,,5390.0,,,,,834,452.,451
432,,,,5410.0,,,,,837,457.,451
433,,,,2448.0,,,,,857,461,451
434,,,,1020.0,,,,,858,459.,451
435,,,,2390.0,,,,,859,460,451
436,,,,6420.0,,,,,967,458,451
437,,,,4270.0,,,,,1077,470,451
438,,,,532.0,,,,,1078,471,451
439,,,,9600.0,,,,,1098,463,451
440,,,,298473.41,,,,,429,0268,452
441,,,,79266.0,,,,,1484,547,453
442,,,,3338.55,,,,,581,0290,454
443,,,,46415.91,,,,,1338,R-426,455
444,,,,13556.0,,,,,399,0011,456
445,,,,3000.0,,,,,1564,3356,457
446,,,,16600.5,,,,,1464,356,458
447,,,,45613.12,,,,,1267,4930,459
448,,,,291375.0,,,,,1489,E2013/1333,460
449,,,,9793.75,,,,,359,17,461
450,,,,4050.0,,,,,1342,052,462
451,,,,1520.0,,,,,1553,563,463
452,,,,6469.0,,,,,1609,608,464
453,,,,7993.65,,,,,1389,01509,465
454,,,,7314.3,,,,,1390,01510,465
455,,,,1670.0,,,,,746,450,467
456,,,,2155.0,,,,,747,438,467
457,,,,9205.0,,,,,797,440,467
458,,,,40500.0,,,,,800,0471,467
459,,,,6081.75,,,,,704,4713,468
460,,,,43918.0,,,,,705,4712,468
461,,,,2020.0,,,,,1552,524,469
462,,,,2572.45,,,,,62,1302938984,470
463,,,,2218.0,,,,,173,1302951994,470
464,,,,50000.0,,,,,1388,AVS/2013-14/033,471
465,,,,1350.0,,,,,1620,4616,472
466,,,,99349.96,,,,,1557,670,473
467,,,,335809.0,,,,,1617,669,473
468,,,,73074.72,,,,,1339,N00595,474
469,,,,5344.33,,,,,1336,1409,475
470,,,,4303.12,,,,,1531,SE/DC/277,476
471,,,,4860.0,,,,,1296,13/7864,477
475,,,,16200.0,,,,,1300,4068,480
477,,,,3230.0,,,,,1313,644,482
478,,,,3530.0,,,,,1314,642,482
479,,,,16469.32,,,,,27,B55/130044,484
480,,,,6158.09,,,,,68,130059,484
481,,,,3412.45,,,,,381,40877,485
482,,,,1071.0,,,,,492,40855,485
483,,,,23301.43,,,,,724,41150,485
484,,,,16628.5,,,,,909,41188,485
485,,,,828.0,,,,,404,40951,486
486,,,,40999.68,,,,,925,41065,486
487,,,,51500.0,,,,,404,40951,487
488,,,,1355.0,,,,,365,40846,488
489,,,,3412.91,,,,,492,40855,488
490,,,,2415.52,,,,,365,40846,489
491,,,,29531.25,,,,,766,0134,490
492,,,,468.75,,,,,861,133,490
493,,,,5040.0,,,,,1062,5055,492
494,,,,11458.0,,,,,255,084,493
495,,,,1860.0,,,,,256,149,493
496,,,,3250.0,,,,,257,249,493
497,,,,1289.0,,,,,259,921,493
498,,,,724.0,,,,,262,959,493
499,,,,6832.0,,,,,1065,457,493
500,,,,1781.0,,,,,1066,326,493
501,,,,15552.0,,,,,872,602&603,494
502,,,,1150.0,,,,,1064,458,494
503,,,,3298.0,,,,,1065,457,494
508,,,,1313.0,,,,,131,271/274,496
509,,,,3202.5,,,,,161,270,496
510,,,,525.0,,,,,94,275,497
511,,,,4199.5,,,,,131,271/274,497
512,,,,9555.0,,,,,215,278,497
513,,,,9881.55,,,,,240,282,498
514,,,,5932.5,,,,,323,283,498
515,,,,5722.5,,,,,366,285,498
516,,,,787.5,,,,,367,284,498
517,,,,4515.0,,,,,640,292,499
518,,,,2100.0,,,,,810,291,499
519,,,,1890.0,,,,,1382,300,499
520,,,,819.0,,,,,1555,301,499
521,,,,756.0,,,,,1653,302,499
522,,,,33741.91,,,,,66,388,500
523,,,,4382.99,,,,,543,1738,501
524,,,,1062.87,,,,,809,1897,501
532,,,,5944.0,,,,,1327,2,504
533,,,,9390.0,,,,,1329,62,504
534,,,,5505.0,,,,,1330,85,504
535,,,,13800.0,,,,,270,408/428,507
536,,,,11400.0,,,,,270,408/428,508
537,,,,55826.71,,,,,1693,46282,509
538,,,,39663.26,,,,,1771,1879,511
539,,,,23994.5,,,,,1529,484,512
540,,,,57960.0,,,,,346,4196,513
541,,,,35238.0,,,,,345,4174,514
542,,,,45990.0,,,,,346,4196,514
543,,,,69300.0,,,,,345,4174,515
544,,,,100000.0,,,,,513,1612,517
545,,,,8775.0,,,,,1380,116,521
546,,,,19083.75,,,,,990,011,522
547,,,,13423.0,,,,,1032,022,522
548,,,,17493.0,,,,,1350,001,522
549,,,,23762.0,,,,,633,052,523
550,,,,6238.25,,,,,1032,022,523
555,,,,6211.0,,,,,191,007,525
556,,,,4050.0,,,,,234,006,525
557,,,,14288.0,,,,,301,008,525
558,,,,14315.0,,,,,374,0010,525
559,,,,10037.0,,,,,378,009,525
560,,,,14945.0,,,,,1101,10,526
561,,,,15458.0,,,,,1102,11,526
562,,,,8421.0,,,,,948,012,527
563,,,,14015.0,,,,,156,001,528
564,,,,7002.0,,,,,191,007,528
565,,,,12072.0,,,,,206,005,528
566,,,,4050.0,,,,,948,012,528
567,,,,14257.78,,,,,1624,SE/DC/294/2013-14,529
568,,,,35871.0,,,,,697,SE/196/13-14,530
570,,,,1350.0,,,,,1215,526,532
573,,,,7534.0,,,,,422,296,534
574,,,,3554.0,,,,,423,297,534
575,,,,5483.17,,,,,594,587,535
576,,,,12668.0,,,,,840,534,535
577,,,,8316.0,,,,,841,533,535
583,,,,23110.0,,,,,402,645,538
584,,,,15337.14,,,,,218,0108,539
585,,,,40000.0,,,,,449,SE/CM/104,541
586,,,,792.0,,,,,1818,P2558,543
587,,,,664688.02,,,,,291,14948,544
588,,,,99290.665,,,,,292,14949,544
589,,,,28335.21,,,,,302,13391,544
590,,,,7866.21,,,,,303,13618,544
591,,,,80754.785,,,,,330,14498,544
592,,,,2414.175,,,,,354,P1118,544
593,,,,7927.39,,,,,383,P1117,544
594,,,,181950.19,,,,,340,16060,545
595,,,,18157.66,,,,,341,15645,545
596,,,,556363.53,,,,,342,15578,545
597,,,,31697.785,,,,,344,15685,545
598,,,,52430.835,,,,,385,17471,545
599,,,,1860.62,,,,,386,17776,545
600,,,,21300.305,,,,,387,17596,545
601,,,,12035.72,,,,,388,17773,545
602,,,,20435.16,,,,,389,17957,545
603,,,,26420.0,,,,,395,17197,545
604,,,,82139.8,,,,,419,P1381,545
605,,,,861.255,,,,,421,18337,545
606,,,,349178.975,,,,,510,18445,546
607,,,,32316.51,,,,,676,19695,546
608,,,,24024.94,,,,,687,19638,546
609,,,,833403.0,,,,,688,19694,546
610,,,,144578.545,,,,,688,19694,547
611,,,,414453.735,,,,,702,20108,547
612,,,,1464.72,,,,,723,20350,547
613,,,,219010.7,,,,,776,20594,547
614,,,,220493.13,,,,,1249,18446,547
615,,,,7098.3,,,,,968,027,548
616,,,,6395.0,,,,,435,023,549
617,,,,4207.0,,,,,436,024,549
638,,,,13614.93,,,,,1627,P01978,554
639,,,,3550.0,,,,,1481,140,555
640,,,,4330.0,,,,,1483,139,555
641,,,,4550.0,,,,,1590,144,555
642,,,,4480.0,,,,,1591,143,555
643,,,,9040.0,,,,,1610,142,555
644,,,,1400.0,,,,,1780,149,555
645,,,,14701.0,,,,,409,61,556
646,,,,5544.0,,,,,608,62,556
647,,,,1693.0,,,,,609,07,556
648,,,,3060.0,,,,,886,083.,556
649,,,,5955.0,,,,,890,082,556
650,,,,5331.0,,,,,1237,126,556
651,,,,140.0,,,,,1238,125,556
652,,,,2609.0,,,,,1239,124,556
653,,,,3175.0,,,,,1240,122,556
654,,,,2075.0,,,,,1257,121,556
655,,,,5312.0,,,,,1288,128,556
656,,,,3145.0,,,,,1289,129,556
657,,,,4243.0,,,,,1354,123,556
658,,,,5.0,,,,,1508,131,556
659,,,,1960.0,,,,,1589,141,556
660,,,,927.0,,,,,1354,123,557
661,,,,4990.0,,,,,1383,135,557
662,,,,1010.0,,,,,1384,137,557
663,,,,4573.0,,,,,1385,136,557
664,,,,5910.0,,,,,1386,133,557
665,,,,5910.0,,,,,1482,138,557
666,,,,3905.0,,,,,1486,130,557
667,,,,1015.0,,,,,1508,131,557
668,,,,760.0,,,,,1527,127,557
669,,,,4910.0,,,,,1588,145,557
670,,,,4310.0,,,,,1747,146,557
671,,,,8780.0,,,,,1748,132,557
674,,,,40000.0,,,,,1732,126,561
678,,,,14615.75,,,,,860,132,563
679,,,,10331.25,,,,,861,133,563
680,,,,15052.5,,,,,1965,238,563
681,,,,36000.0,,,,,1630,920,564
682,,,,4000.0,,,,,2002,933,565
683,,,,2610.0,,,,,446,059,566
684,,,,7312.5,,,,,289,1913,567
686,,,,23510.0,,,,,,,569
687,,,,20000.0,,,,,,,570
688,,,,11088.0,,,,,,,571
690,,,,25000.0,,,,,,,573
693,,,,60546.0,,,,,,,576
694,,,,4303.0,,,,,,,577
695,,,,75035.0,,,,,,,578
697,,,,3520.0,,,,,,,580
699,,,,4860.0,,,,,,,582
702,,,"1006,",239335.0,,,,,,,585
704,,,,14175.0,,,,,1892,2974,587
705,,,,1535.62,,,,,1807,2013-14/4502,588
706,,,,52331.67,,,,,1539,14030754,589
707,,,,34887.78,,,,,1540,14030755,589
708,,,,8721.94,,,,,1622,14030790,589
709,,,,27415.5,,,,,1421,205,590
710,,,,52834.22,,,,,1795,196,590
711,,,,31683.35,,,,,1796,201,590
712,,,,127826.84,,,,,1970,195,590
713,,,,6187.5,,,,,1652,649,591
714,,,,2925.0,,,,,1848,178,592
715,,,,1220.0,,,,,1841,2162,593
716,,,,14023.12,,,,,1988,1048,594
717,,,,22732.5,,,,,1615,1779,595
718,,,,3800.0,,,,,2169,2383,596
719,-,,,20000.0,-,,,,,,597
720,,,"1005,",39663.0,,,,,,,598
721,,,,79548.0,,,,,,,599
722,,,,3520.0,,,,,1866,685,600
725,,,,2330.0,,,,,,,602
726,,,,7981.21,,,,,1625,141,603
727,,,,5673.06,,,,,1671,140,603
728,,,,14258.0,,,,,1183,SE/DC/241,604
729,,,,136265.63,,,,,1678,4223,605
730,,,,1988481.0,,,,,2404,4229,606
731,,,"1736,",16000.0,,,,,,,607
732,,,,2118.0,,,,,,,608
733,,,,11755.0,,,,,2079,KV/3373,609
734,,,,1000000.0,,,,,,,610
735,,,"1624,",8010.0,,,,,,,611
736,,,,51194.02,,,,,1714,N00651,612
737,,,,4431.25,,,,,2059,0709/2013-14,613
738,,,,200000.0,,,,,,,614
739,,,"1844,",607466.0,,,,,,,616
740,,,,2117.0,,,,,,,617
741,,,,20445.69,,,,,1943,N00672,618
742,,,,16871.53,,,,,1944,N00673,618
743,,,,37127.22,,,,,1606,EX13-5141,619
744,,,,51049.92,,,,,1607,EX13-5142,619
745,,,,84124.23,,,,,1745,1973,620
746,,,,15519.88,,,,,1766,EX01078,620
747,,,,65267.96,,,,,1767,EX 01079,620
748,,,,115561.27,,,,,1277,2263,621
749,,,,3370.5,,,,,2073,1248,622
750,,,,2648.25,,,,,2140,1262,622
751,,,"0943,",84933.0,,,,,,,623
753,,,"1860,",103387.0,,,,,,,625
754,,,"1450,",164512.0,-,,,,,,626
755,,,"1685,",11656.0,,,,,,,627
756,,,,8568.0,,,,,,,628
