SubModLinkId,Access,LinkPage,SubModId
147,1,PMBM_New.aspx,68
148,2,PMBM_Edit.aspx,68
149,3,PMBM_Delete.aspx,68
150,4,PMBM_Print.aspx,68
151,1,Machinery_New.aspx,67
152,2,Machinery_Edit.aspx,67
153,3,Machinery_Delete.aspx,67
154,4,Machinery_Print.aspx,67
155,1,Schedule_New.aspx,69
156,2,Schedule_Edit.aspx,69
157,3,Schedule_Delete.aspx,69
158,4,Schedule_Print.aspx,69
159,1,Schedule_Output_New.aspx,70
160,2,Schedule_Output_Edit.aspx,70
161,3,Schedule_Output_Delete.aspx,70
162,4,Schedule_Output_Print.aspx,70
163,1,CategoryNew.aspx,71
164,2,CategoryEdit.aspx,71
165,3,CategoryDelete.aspx,71
166,1,SubCategoryNew.aspx,72
167,2,SubCategoryEdit.aspx,72
168,3,SubCategoryDelete.aspx,72
169,1,WorkOrder_close.aspx,73
170,1,Product.aspx,74
171,1,WO_Release_DA.aspx,75
172,1,Unit_Master.aspx,76
173,1,ItemProcess.aspx,28
174,1,BusinessNature.aspx,77
175,1,BusinessType.aspx,78
176,1,ServiceCoverage.aspx,79
177,1,Buyer.aspx,80
178,1,ReleaseWIS.aspx,81
179,1,WIS_Dry_Actual_Run.aspx,53
180,1,AccHead.aspx,82
181,1,Excise.aspx,83
182,1,VAT.aspx,84
183,1,Octori.aspx,85
184,1,Packin_Forwarding.aspx,86
185,1,Freight.aspx,87
186,1,ExcisableCommodity.aspx,88
187,1,WarrentyTerms.aspx,89
188,1,PaymentTerms.aspx,90
189,1,BusinessGroup.aspx,91
190,1,Designation.aspx,92
191,1,Department.aspx,93
192,1,Grade.aspx,94
193,1,SwapCardNo.aspx,95
194,1,CorporateMobileNo.aspx,96
195,1,IntercomExtNo.aspx,97
196,1,SMS.aspx,101
197,1,GatePassReason.aspx,102
198,1,AuthorizeGatePass.aspx,103
199,1,ProformaInvoice_New.aspx,104
200,2,ProformaInvoice_Edit.aspx,104
201,3,ProformaInvoice_Delete.aspx,104
202,4,ProformaInvoice_Print.aspx,104
203,4,OfferLetter_Print.aspx,25
204,1,Cash_Bank_Entry.aspx,105
205,1,IOU_Reasons.aspx,106
206,1,Payement_Receipt_Against.aspx,107
207,1,Bank.aspx,108
208,1,ContraEntry.aspx,109
209,1,Debit_Note.aspx,110
210,1,Credit_Note.aspx,111
211,1,IOU_PaymentReceipt.aspx,112
212,1,CashVoucher_New.aspx,113
213,1,BankVoucher.aspx,114
214,3,BankVoucher_Delete.aspx,114
215,4,BankVoucher_Print.aspx,114
216,1,OnSiteAttendance_New.aspx,115
217,2,OnSiteAttendance_Edit.aspx,115
218,3,OnSiteAttendance_Delete.aspx,115
219,4,OnSiteAttendance_Print.aspx,115
220,1,ProjectPlanning.aspx,116
221,1,ManPowerPlanning.aspx,117
222,3,ManPowerPlanning_Delete.aspx,117
223,4,ManPowerPlanning_Print.aspx,117
224,1,SupplierChallan_New.aspx,118
225,2,SupplierChallan_Edit.aspx,118
226,3,SupplierChallan_Delete.aspx,118
227,4,SupplierChallan_Print.aspx,118
228,1,Advice.aspx,119
229,3,Advice_Delete.aspx,119
230,4,Advice_Print.aspx,119
231,1,BillBooking_Authorize.aspx,120
232,1,CustomerChallan_New.aspx,121
233,2,CustomerChallan_Edit.aspx,121
234,3,CustomerChallan_Delete.aspx,121
235,4,CustomerChallan_Print.aspx,121
236,1,ECNReasonTypes.aspx,122
237,1,InvoiceAgainst.aspx,123
238,1,TourIntimation.aspx,124
239,2,TourIntimation_Edit.aspx,124
240,3,TourIntimation_Delete.aspx,124
241,4,TourIntimation_Print.aspx,124
242,1,PaymentMode.aspx,125
243,1,TourVoucher.aspx,126
244,2,TourVoucher_Edit.aspx,126
245,3,TourVoucher_Delete.aspx,126
246,4,TourVoucher_Print.aspx,126
247,1,MaterialCreditNote_MCN_New.aspx,127
248,2,MaterialCreditNote_MCN_Edit.aspx,127
249,3,MaterialCreditNote_MCN_Delete.aspx,127
250,4,MaterialCreditNote_MCN_Print.aspx,127
251,1,AuthorizedMCN.aspx,128
252,1,BankLoan.aspx,129
253,2,BankLoan_Edit.aspx,129
254,3,BankLoan_Delete.aspx,129
255,4,BankLoan_Print.aspx,129
256,4,GatePass_Print.aspx,103
257,1,MROffice.aspx,130
258,1,Slido_Gunrail_WO_Grid.aspx,131
259,1,Dispatch_Gunrail_WO_Grid.aspx,132
260,1,Salary_New.aspx,133
261,4,Salary_Print.aspx,133
262,2,Salary_Edit.aspx,133
263,3,Salary_Delete.aspx,133
264,1,WorkingDays.aspx,134
265,1,CreditorsDebitors.aspx,135
266,4,CashVoucher_Print.aspx,113
267,3,CashVoucher_Delete.aspx,113
268,1,ECN_WO.aspx,137
269,1,MailMerge.aspx,138
270,1,RateSet.aspx,139
271,1,Asset.aspx,140
272,1,Asset_Register.aspx,141
274,1,LoanType.aspx,143
275,1,IntrestType.aspx,144
276,1,SystemCredentials.aspx,145
277,2,ManPowerPlanning_Edit.aspx,117
278,1,Head_PO_Status.aspx,146
279,1,Challan_Master.aspx,147
281,4,ChallanInfo_NEW.aspx,147
283,3,Challan_Delete.aspx,147
284,1,Planning_New.aspx,152
285,4,Report_Info.aspx,152
286,4,Boughtout_Report_Info_Print.aspx,154
287,4,Vendor_Report_Info_Print.aspx,155
288,4,Assemly_Report_Info_Print.aspx,156
289,1,PR_New.aspx,154
290,1,Boughtout_Report_Info_Edit.aspx,155
291,1,VendorA_Report_Info.aspx,156
292,1,Planning_New.aspx,158
293,4,Report_Info.aspx,158
294,4,Manufacturing_Vendor_Report_Info_Print.aspx,159
295,4,Manufacturing_Assemly_Report_Info_Print.aspx,160
296,1,ASPR_New.aspx,163
297,1,APO_New.aspx,164
298,4,APO_Print.aspx,164
299,1,Vehical_Information.aspx,166
300,4,VehicalInfo_Print.aspx,166
