SalesId,SysDate,SysTime,SessionId,CompId,FinYearId,EnqId,CustomerId,CustomerName,RegdAddress,RegdCountry,RegdState,RegdPinNo,RegdContactNo,RegdFaxNo,WorkAddress,WorkCountry,WorkState,WorkPinNo,WorkContactNo,WorkFaxNo,MaterialDelAddress,MaterialDelCountry,MaterialDelState,MaterialDelPinNo,MaterialDelContactNo,MaterialDelFaxNo,ContactPerson,JuridictionCode,Commissionurate,TinVatNo,Email,EccNo,Divn,TinCstNo,ContactNo,Range,PanNo,TDSCode,Remark,MaterialDelCity,RegdCity,WorkCity
12,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A010,AMBA ENTERPRISES (WARADE GROUP),"S.No.-168,barge wasti Pune-Nashik Highway Chimali 
Chaken
",1,21,410501,02135-5286495,2027494273,"S.No.-168,barge wasti Pune-Nashik Highway Chimali 
Chaken
",1,21,410501,02135-5286495,2027494273,"S.No.-168,barge wasti Pune-Nashik Highway Chimali 
Chaken
",1,21,410501,02135-5286495,2027494273,Mr. Sourabh Warade,-,-,27720743542V w.e.f.01/01/10,Saurabh.warade@waradegroup.com,AAHPW7026PEM003,Pune-VIII,27720743542C w.e.f.01/01/10,9922408304,Alandi,AAHPW7026P,-,,405,405,405
13,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A011,AGRO ENGINEERING WORKS,"Plot #36-38,DLF Industrial Area,Phase-II",1,13,121003,91-129-4271100,+91-129-4271188,"Plot #36-38,DLF Industrial Area,Phase-II",1,13,121003,91-129-4271100,+91-129-4271188,"Plot #36-38,DLF Industrial Area,Phase-II",1,13,121003,91-129-4271100,+91-129-4271188,Mr. ANOOP SAHAI,-,-,-,anoop@agroengineering.com,-,-,-,09711117309,-,-,-,,169,169,169
14,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A012,ALF ENGINEERING PVT. LTD.  UNIT - 2,"Plot No. H-25,M.I.D.C. Area, Ambad",1,21,422010,0253 - 2381460,0253 - 2386820,"Plot No. H-25,M.I.D.C. Area, Ambad",1,21,422010,0253 - 2381460,0253 - 2386820,"Plot No. H-25,M.I.D.C. Area, Ambad",1,21,422010,0253 - 2381460,0253 - 2386820,Mr. Dinesh Raut,-,-,27180524522V,dineshraut@alfengineering.com,-,-,27180524522C,09325379844,-,-,-,Mig welding fixtures for Reva project. 1) Side Assembly LH 2) Side Assembly RH 3) Cage Assembly 4) Floor Assembly 5) Front Assembly 6) Body Frame Assembly,402,402,402
15,2017-12-02,11:46:25 AM,Sapl0005,1,1,0,A013,ALF ENGINEERING PVT.LTD ,"Plot No.A-1/3,MVML Supplier Park,Phase-IV,Village-Nigoje,MIDC-Chakan",1,21,413 105,2382034-2380103,2386820,"Plot No.A-1/3,MVML Supplier Park,Phase-IV,Village-Nigoje,MIDC-Chakan",1,21,413 105,2382034-2380103,2386820,"Plot No.A-1/3,MVML Supplier Park,Phase-IV,Village-Nigoje,MIDC-Chakan",1,21,413 105,2382034-2380103,2386820,Mr. Sharad Awahad,-,-,27180524522-V,alfnsk@dataone.in,AAFCA6242GEM007,-,27AAFCA6242G1ZT,09765260642,-,-,-,,405,405,405
16,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A014,ALF ENGINEERING PVT.LTD-UNIT-3,"Plot No. B-82/1,MIDC,Ambad,",1,21,422 010,2382034-2380103,2386820,"Plot No. B-82/1,MIDC,Ambad,",1,21,422 010,2382034-2380103,2386820,"Plot No. B-82/1,MIDC,Ambad,",1,21,422 010,2382034-2380103,2386820,Mr.Dinesh Raut,-,-,27180524522-V,alfnsk@dataone.in,AAFCA6242GXM005,-,27180524522-C,09325379844,-,-,-,,402,402,402
17,2017-10-26,4:50:41 PM,sapl0005,1,1,0,A015,ALF ENGINEERING PVT.LTD-UNIT-1,"PLOT NO. E-60/61/62,MIDC,AMBAD",1,21,422 010,2382034-2380103,2386820,"PLOT NO. E-60/61/62,MIDC,AMBAD",1,21,422 010,2382034-2380103,2386820,"PLOT NO. E-60/61/62,MIDC,AMBAD",1,21,422 010,2382034-2380103,2386820,Mr. Dinesh Raut,-,-,27180524522-V,alfnsk@dataone.in,AAFCA6242GXM002,-,27AAFCA6242G1ZT,9325379844,27180524522-c,-,27AAFCA6242G1ZT,,402,402,402
18,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A016,ALF ENGINEERING COMPANY,"PLOT NO.227 TO 231,SECTOR-7,IIE,SIDCUL",1,34,249 403,"01334-239018,9319552246",01334-239444,"PLOT NO.227 TO 231,SECTOR-7,IIE,SIDCUL",1,34,249 403,"01334-239018,9319552246",01334-239444,"PLOT NO.227 TO 231,SECTOR-7,IIE,SIDCUL",1,34,249 403,"01334-239018,9319552246",01334-239444,Mr. Dinesh Raut,-,-,05005690336 Dtd. 26-10-2005,haridwar@alfengineering.com,-,-,HR-5048569 Dtd. 26-10-2005,9325379844,-,-,-,,679,679,679
19,2013-04-16,5:50:59 PM,Sapl0005,1,1,0,A017,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LTD.,"S.No. 173,Village - Khakharia,Tal. - Savali,Dist. Vadodara, HALOL-391510",1,12,391510,91-2667-288042,-,"S.No. 173,Village - Khakharia,Tal. - Savali,Dist. Vadodara,HALOL-391510",1,12,391510,91-2667-288042,-,"S.No. 173,Village - Khakharia,Tal. - Savali,Dist. Vadodara, HALOL-391510",1,12,391510,91-2667-288042,-,Mr. T.S.Rao,-,"VADODARA II, SUBHANPURA",24192100315V,TS.Rao@autostampings.com,AAACJ2116MXM001,-,24192100315C,09881060286,(I) GTC COMPOUND VADODARA,AAACJ2116M,-,,165,165,165
20,2018-03-08,2:16:26 PM,Sapl0005,1,1,0,A018,AUTOLINE INDUSTRIES LTD.,"PLOT NO. 6,SECTOR 11,(TATA VENDOR PARK),I.I.E.,U.S.NAGAR,RUDRAPUR,",1,34,263153,-,-,"PLOT NO. 6,SECTOR 11,(TATA VENDOR PARK),I.I.E.,U.S.NAGAR,RUDRAPUR,",1,34,263153,-,-,"PLOT NO. 6,SECTOR 11,(TATA VENDOR PARK),I.I.E.,U.S.NAGAR,RUDRAPUR,",1,34,263153,-,-,Mr. Dattatraya Kute,-,-,-,dattatraya.kute@autolineind.com,AABCA4534DEM008,-,05AABCA4534D1ZA,96340091475,05008105054,-,-,,679,679,679
21,2017-10-26,4:45:29 PM,Sapl0005,1,1,0,A019,AUTOCOMP CORPORATION PANSE PVT. LTD. PANTNAGAR UNIT-II,"PLOT NO.38 & 39, SECTOR-11, IIE,UDHAM SINGH NAGAR RUDRAPUR 263153",1,34,263153,05944-250640,-,"PLOT NO.38 & 39, SECTOR-11, IIE,UDHAM SINGH NAGAR RUDRAPUR 263153",1,34,263153,05944-250640,-,"PLOT NO.38 & 39, SECTOR-11, IIE,UDHAM SINGH NAGAR RUDRAPUR 263153",1,34,263153,05944-250640,-,Mr. SANDIP,-,-,05006530647,rktewari@pansegroup.com,AAFCA6224NEM003,RAMPUR,05AAFCA6224N1ZM,91-9557790922,RU-5045574,-,05AAFCA6224N1ZM,,679,679,679
22,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,A020,ARKAY FABSTEEL SYSTEMS PVT. LTD.,"GAT NO. 357,76,WAGHJAINAGAR, KHARABWADI, CHAKAN",1,21,-,-,-,"GAT NO. 357,76,WAGHJAINAGAR, KHARABWADI, CHAKAN",1,21,-,-,-,"GAT NO. 357,76,WAGHJAINAGAR, KHARABWADI, CHAKAN",1,21,-,-,-, Mr. Rajesh Kumar Pal,-,PUNE,27500884216V,rajeshk.pal@arkayindia.com,AAHCA2157LEM006,PUNE-V,27500884216C,918308811933,"SADGURU COMPLEX, CHAKAN",-,-,,405,405,405
23,2016-03-31,4:49:28 PM,Sapl0005,1,1,0,B001,BADVE ENGINEERING LIMITED UNIT-XII,"Plot No. 52 , sector no :11,TATA VENDOR PARK,IIE SIDCUL Pantnagar",1,34,263 153,-,-,"Plot No. 52 , sector no :11,TATA VENDOR PARK,IIE SIDCUL Pantnagar",1,34,263 153,-,-,"Plot No. 52 , sector no :11,TATA VENDOR PARK,IIE SIDCUL Pantnagar",1,34,263 153,-,-,Mr. P.K. Upadhyay,-,-,0500632219,pnpise@badvegroup.com,AAACB9378FXM009,RAMPUR,RU-504286,9927051049,-,AAACB9378F,-,,679,679,679
24,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,B002,BADVE AUTOCOMS PVT. LTD.,"Plot No. 52,Sector No - 11,Integrated Industrial Estate,Udham singh Nagar ",1,34,263153,-,-,"Plot No. 52,Sector No - 11,Integrated Industrial Estate,Udham singh Nagar ",1,34,263153,-,-,"Plot No. 52,Sector No - 11,Integrated Industrial Estate,Udham singh Nagar  ",1,34,263153,-,-,Mr. V.C.Gujrathi,-,-,-,vcgujrathi@badvegroup.com ,-,-,-,9881150566,-,-,-,,679,679,679
25,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,B003,"BADAVE ENGINEERING LIMITED, UNIT - XI (MOULDING DIVISION)","PLOT NO C 11 A,MIDC, RANJANGAON,TAL.SHIRUR",1,21,412209,02138-654125,02138-232005,"PLOT NO C 11 A,MIDC, RANJANGAON,TAL.SHIRUR",1,21,412209,02138-654125,02138-232005,"PLOT NO C 11 A,MIDC, RANJANGAON,TAL.SHIRUR",1,21,412209,02138-654125,02138-232005,N.M.BHATE,-,-,-,nmbhate@badavegroup.com,-,-,-,9881150665,-,-,-,MOULD STORAGE SYSTEM,405,405,405
26,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,B004,BADAVE GROUP OF INDUSTRIES,"GAT NO.-15,NAIGHAVAN, KHANDEWADI, TAL.-PAITHAN",1,21,-,0240-2694463/64/65,0240-25553,"GAT NO.-15,NAIGHAVAN, KHANDEWADI, TAL.-PAITHAN",1,21,-,0240-2694463/64/65,0240-25553,"GAT NO.-15,NAIGHAVAN, KHANDEWADI, TAL.-PAITHAN",1,21,-,0240-2694463/64/65,0240-25553,V.P. MALUSARE,-,-,27710334159V,vpmalusare@badvegroup.com,AAECS6194CFT001,AURANGABAD-III,27710334159C,-,-,AAECS6194C,-,,385,385,385
27,2013-11-08,3:12:03 PM,Sapl0005,1,1,0,B005,BADAVE ENGINEERING LIMITED UNIT-II (3W- CHASIS DIV),"GUT NO. 15,NAIGAVAN,TAL. PAITHAN,",1,21,431107,0240-2694464/85,0240-2694463,"GUT NO. 15,NAIGAVAN,TAL. PAITHAN,",1,21,431107,0240-2694464/85,0240-2694463,"GUT NO. 15,NAIGAVAN,TAL. PAITHAN,",1,21,431107,0240-2694464/85,0240-2694463,Mr. SUNIL YEOLE,-,-,27680000350V,sdyeole@badvegroup.com,AAACB9379FXM002,AURANGABAD-III,27680000350C,-,-,AAACB9378F,-,,385,385,385
28,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,B006,BADVE ENGINEERING LIMITED UNIT - XVI,"PLOT NO. B-5 & B-6,INDUSTRIAL AREA, MIDC,WALUJ,",1,21,431 136,0240-2694485/63/64,-,"B-6,INDUSTRIAL AREA, MIDC,WALUJ,",1,21,431 136,0240-2694485/63/64,-,"B-6,INDUSTRIAL AREA, MIDC,WALUJ,",1,21,431 136,0240-2694485/63/64,-,Mr. Sunil. D. Yeole,-,-,27680000350V,sdyeole@badvegroup.com,AAACB9378FEM011,AURANGABAD - II,27680000350C,9881150557,-,AAACB9378,-,,385,385,385
29,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C001,CAPARO MARUTI LTD.,-,1,21,-,-,-,-,1,21,-,-,-,-,1,21,-,-,-,-,-,-,-,afgh@jhb.com,-,-,-,-,-,-,-,,405,405,405
30,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C002,COMAU INDIA PVT LTD,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,412208,+91-2137-678100,+91-2137-678110/11,"Gate No -1394, 1413,34 KM Milestone,Pune Nagar Road, Shikrapur,Taluka Shirur",1,21,412208,+91-2137-678100,+91-2137-678110/11,Mr. Amit Kokane,-,-,27650001482 V WEF 01/04/06,amit.kokane@comau.com,AAACC6992QXM002,-,27650001482 C WEF 01/04/06,-,-,-,-,,405,405,405
31,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C003,CONEX AVIOAUTO PVT LTD.,"ARADHANA 55 AMCHI COLONY,BAWDHAN KHURD, PASHAN NDA ROAD",1,21,411021,"0091 - 20 - 29552174,2952175,2951145",0091 - 20 - 2952752,"267 / B / 1,JAWAHARLAL NEHRU,INDUSTRIAL ESTATE,PIRANGUT,TAL-MULSHI ",1,21,411021,020 - 2923371 / 72,020 - 2923607,"267 / B / 1,JAWAHARLAL NEHRU,INDUSTRIAL ESTATE,PIRANGUT,TAL-MULSHI ",1,21,411021,020 - 2923371 / 72,020 - 2923607,SUSHIL INGALE,-,-,-,Sushil@conex.com,AABCC2065RXM001,-,-,-,-,-,-,,405,405,405
32,2017-10-26,4:59:51 PM,Sapl0005,1,1,0,C004,CUMMINS INDIA LIMITED,KOTHRUD,1,21,411038,25385435 EXT - 3135,-,KOTHRUD,1,21,411038,25385435 EXT - 3135,-,KOTHRUD,1,21,411038,25385435 EXT - 3135,-,MOHINI PAWAR,-,-,27410344315/V DT 01/04/06,adesh.a.sheth@cummins.com,AAACC7258BST001,-,27AAACC7258B1ZW,9881949602,27410344315/c DT 01/04/06,-,27AAACC7258B1ZW,,405,405,405
33,2013-09-14,3:23:49 PM,Sapl0005,1,1,0,C005,CLEANTECH SYSTEMS PVT. LTD.,"Gat No. 351,Kasurdi, Khed - shivapur , Tal. Bhor",1,21,412205,02113 - 252702,02113 - 252703,"Gat No. 351,Kasurdi, Khed - shivapur , Tal. Bhor",1,21,-,-,-,"Gat No. 351,Kasurdi, Khed - shivapur , Tal. Bhor",1,21,-,-,-,Mr. Ganesh Oulkar,-,-,27550523203V W.E.F.03/04/2006,cleantech@vsnl.net,AACCC7648BXM002,-,27550523203C W.E.F.03/04/2006,-,-,-,-,0.5 ton Hoist with Rails.,405,405,405
34,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C006,CONSTRUCTION CATALYSERS PVT.LTD,"VEDH, 484/37,MITRA MANDAL COLONY,PARVATI",1,21,411009,020-24444446/6797,020-24442480,"VEDH, 484/37,MITRA MANDAL COLONY,PARVATI",1,21,411009,020-24444446/6797,020-24442480,"VEDH, 484/37,MITRA MANDAL COLONY,PARVATI",1,21,411009,020-24444446/6797,020-24442480,PAWAN VISHWAKARMA,-,-,-,Pawan.Vishwakarma@concat.in,-,-,-,9657716690,-,-,-,X- Y STRUCTURE FOR PLASMA CUTTING MACHINE,405,405,405
35,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C007,CATERPILLAR INDIA PVT. LTD.,MELNALLATHUR,1,31,-, + 91 44- 47600672 ,-,MELNALLATHUR,1,31,-, + 91 44- 47600672 ,-,MELNALLATHUR,1,31,-, + 91 44- 47600672 ,-,ARUNPRASAN NARAYANMURTHY,-,-,-,Arunprasad_Narayanamurthy@cat.com,-,-,-,9500086042,-,-,-,,561,561,561
36,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C008,CUMMINS TECHNOLOGIES INDIA LTD.,"9 / 1, A - 2 ,TECHNOVA HOUSE,2nd FLOOR,ERANDAWANE",1,21,411004,-,-,"9 / 1, A - 2 ,TECHNOVA HOUSE,2nd FLOOR,ERANDAWANE",1,21,411004,-,-,"9 / 1, A - 2 ,TECHNOVA HOUSE,2nd FLOOR,ERANDAWANE",1,21,411004,-,-,Mr. CHETAN MAHESHWARI,-,-,-,chetan.maheshwari@cummins.com,-,-,-,08805987118 ,-,-,-,,405,405,405
37,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C009,CUMMINS EXHAUST INDIA LTD.,"Survey no - 74/3 & 4 ,Village Kadaiya",1,9,396 210,0260 222 0384 ,0260 222 0238,"Survey no - 74/3 & 4 ,Village Kadaiya",1,9,396 210,0260 222 0384 ,0260 222 0238,"Survey no - 74/3 & 4 ,Village Kadaiya",1,9,396 210,0260 222 0384 ,0260 222 0238,Mr. SHRIKANT DANGE,-,-,-,shrikant.dange@cummins.com,-,-,-,09714 84 7099,-,-,-,,129,129,129
38,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,C010,CHAMP ENERGY VENTURES PVT. LTD.,"Plot No. 7. Gat No. 399/1/2/3/B.Near MSEB Mulshi Sub Division, Village-Bhare,Tal-Mulshi",1,21,-,"+91-20-22922343,22923243",+91-20-22922080,"Plot No. 7. Gat No. 399/1/2/3/B.Near MSEB Mulshi Sub Division, Village-Bhare,Tal-Mulshi",1,21,-,"+91-20-22922343,22923243",+91-20-22922080,"Plot No. 7. Gat No. 399/1/2/3/B.Near MSEB Mulshi Sub Division, Village-Bhare,Tal-Mulshi",1,21,-,"+91-20-22922343,22923243",+91-20-22922080,R.K.Jagtap,-,-,-,rjagtap@cevpl.com,-,-,-,+91-9922407872,-,-,-,,405,405,405
39,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,D001,DIVYA ENGINEERING PROJECT,"Sr.No.119/1,S Block,MIDC,
Bhosari,",1,21,411026,-,-,-,1,21,-,-,-,"Divya Engg Projects,Pimpri",1,21,-,-,-,-,-,-,-,bgb@jh.com,AAACT2727QXM003,-,-,-,-,-,-,,405,405,405
40,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,D002,DSA - DATEN -SYSTEMTECHNIK GMBH,"C/o Fiat India Automobiles Pvt. Ltd.,Plot no. B-19,MIDC. Industrial Area,Ranjangaon,Taluka-Shirur",1,21,412220,-,-,"C/o Fiat India Automobiles Pvt. Ltd.,Plot no. B-19,MIDC. Industrial Area,Ranjangaon,Taluka-Shirur",1,21,412220,-,-,"C/o Fiat India Automobiles Pvt. Ltd.,Plot no. B-19,MIDC. Industrial Area,Ranjangaon,Taluka-Shirur",1,21,412220,-,-,Mr. Philipp Hagemann,-,-,27480601569V WEF 11/04/07,philipp.hagemann@dsa-ac.de,AAACF17160XM001,-,27480601569C WEF 11/04/07,-,-,-,-,,405,405,405
41,2016-03-31,9:11:22 AM,Sapl0005,1,1,0,D003,DEVCHHAYA INDUSTRIES,"W-189,(B) S BLOCK,MIDC ,BHOSARI",1,21,-,-,-,"C-4,INDUSTRIAL STATE, KICHHA BYPASS ROAD,",1,34,-,-,-,"PLOT NO. 9,SECTOR 11,SIDCUL,",1,34,-,-,-,PRAVIN AGARWAL,-,-,29590608896,devchhaya189@yahoo.com,-,-,05007795818,9326020230/31,-,-,-,,679,405,679
42,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,D004,DRIVE TECHNOLOGIES,"203,AQUA HOUSE,SINHAGAD ROAD,PARVATI",1,21,411030,020-2439526,020-24329536,"203,AQUA HOUSE,SINHAGAD ROAD,PARVATI",1,21,411030,020-2439526,020-24329536,"203,AQUA HOUSE,SINHAGAD ROAD,PARVATI",1,21,411030,020-2439526,020-24329536,PRASAD GUJRAL,-,-,27700025559V DT. 01/04/2006,drivetechpune@gmail.com,-,-,27700025559c DT. 01/04/2006,9372227245,-,-,-,,405,405,405
43,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,D005,DTM INDIA PVT.LTD.,"PLOT NO.24,SECTOR NO.28,PRADHIKARAN,NIGADI,",1,21,411 044,020-32670444,-,"PLOT NO.24,SECTOR NO.28,PRADHIKARAN,NIGADI,",1,21,411 044,020-32670444,-,"PLOT NO.24,SECTOR NO.28,PRADHIKARAN,NIGADI,",1,21,411 044,020-32670444,-,MR.SHRISHAIL DHAWARE,-,-,-,shrishaildhaware@gmail.com,-,-,-,9028481684,-,-,-,,405,405,405
44,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,D006,"DEVCHHAYA INDUSTRIES, DHARWAD","PLOT NO.27, BELLUR INDUSTRIAL ESTATE, DHARWAD",1,17,-,-,-,"PLOT NO.27, BELLUR INDUSTRIAL ESTATE, DHARWAD",1,17,-,-,-,"PLOT NO.27, BELLUR INDUSTRIAL ESTATE, DHARWAD",1,17,-,-,-,Mr. Sudhir Nair,-,-,29590608896,devchhaya189@yahoo.com,-,-,29590608896,9372965740,-,-,-,,304,304,304
45,2013-04-01,09:28:26 AM,Sapl0005,1,1,0,E001,EDAG TECHNOLOGIES INDIA PVT LTD,"A - 604 SINGATURE,TOWER, SOUTH CITY,",1,13,122001,91-0124-4323232,91-0124-4323230,"PLOT NO.8, SECTOR - 6,IMT MANESAR",1,13,122050,91-0124-4323232,91-0124-4323230,"PLOT NO.8, SECTOR - 6,IMT MANESAR",1,13,122050,91-0124-4323232,91-0124-4323230,Mr. Sumeet Gupta,-,-,-,sumeet.gupta@in.edag.com,AABCE1696EXM001,-,-,-,-,-,-,,171,171,171
