Id,PRJCTNO,ItemCode,Description,UOM,BOMQ,Design,VendorPlanDate,VendorAct,WONo,VendorPlan,AssemlyDate,Remark,AssemlyNo
30,3,H042-024-000,"PUNCHED WASHER TYPE A - M24 (OD=44, ID=26, T=4) - IS 2016 -1967",NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
31,3,H042-014-000,"PUNCHED WASHER TYPE A - M14 (OD=28, ID=15.5, T=2.8) - IS 2016 -1967",NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
32,3,H042-006-000,"PUNCHED WASHER TYPE A - M6 (OD=12.5, ID=6.6, T=1.6) - IS 2016 -1967",NOS,20.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
33,3,H042-008-000,"PUNCHED WASHER TYPE A - M8 (OD=17, ID=9, T=1.6) - IS 2016 -1967",NOS,135.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
34,3,H042-010-000,"PUNCHED WASHER TYPE A - M10 (OD=21, ID=11, T=2) - IS 2016 -1967",NOS,16.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
35,3,H044-024-002,"SPRING WASHER - M24 (OD=35.9, ID=24.5, T=5) - IS 3063 - 1972",NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,09-03-2021,,3
36,3,H044-014-005,"SPRING WASHER - M14 (OD=24, ID=14 T=2) - IS 3063 - 1972",NOS,10.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
37,3,H044-006-000,"SPRING WASHER - M6 (OD=9.9, ID=6.1, T=1.6) - IS 3063 - 1972",NOS,20.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
38,3,H044-008-000,"SPRING WASHER - M8 (OD=12.7, ID=8.1, T=2) - IS 3063 - 1972",NOS,135.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
39,3,H044-010-000,"SPRING WASHER - M10 (OD=16, ID=10.2, T=2.5) - IS 3063 - 1972",NOS,16.0,03-03-2021,07-03-2021,09-03-2021,J0139,3,08-03-2021,,3
40,13,E100-181-015,"Type:-Gas Spring ,Type of Gas Spring:-Mounting Direction Fixed Type ,Stroke:-100MM, Min Length:-181 ,Cylinder Dia(Ø):-15, Part number:- GS142",NOS,2.0,13-03-2021,13-03-2021,14-03-2021,J0141,7,16-03-2021,,4
41,17,H004-012-050,HEX BOLT - IS 1364 - GRADE 10.9 - M12X50,NOS,128.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021 ,,6
42,17,H004-020-080,HEX BOLT - IS 1364 - GRADE 10.9 - M20X80,NOS,48.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021,,6
43,17,H004-020-150,HEX BOLT - IS 1364 - GRADE 10.9 - M20X150,NOS,48.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021,,6
44,17,H042-012-000,"PUNCHED WASHER TYPE A - M12 (OD=24, ID=14, T=2.5) - IS 2016 -1967",NOS,128.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021,,6
45,17,H042-020-000,"PUNCHED WASHER TYPE A - M20 (OD=37, ID=22, T=3.15) - IS 2016 -1967",NOS,100.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021,,6
46,17,H044-012-000,"SPRING WASHER - M12 (OD=18, ID=12.2, T=2.5) - IS 3063 - 1972",NOS,128.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021,,6
47,17,H044-020-000,"SPRING WASHER - M20 (OD=30.6, ID=20.2, T=4.5) - IS 3063 - 1972",NOS,100.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021,,6
48,17,H023-020-150,HEX NUT- IS 1364 - M20X1.5 - GRADE-10,NOS,150.0,17-03-2021,17-03-2021,Planned,N0235,18,27-03-2021,,6
49,17,H450-220-150,ANCHORE FASTNER -22X150,NOS,72.0,17-03-2021,17-03-2021,Planned,N0235,18,28-03-2021 M20x 150 used  48 nos recieved ,,6
50,14,B021-012-010,PAP BUSH - 1210 - P10 - ID 12 x OD 14 x 10L,NOS,4.0,13-03-2021,15-03-2021,16-03-2021,J0142,6,24-03-2021,,7
51,7,Z001-150-050,Castor Wheels Ø150x50 With brake,NOS,4.0,04-03-2021,10-03-2021,17-03-2021,N0231,9,22-03-2021,,8
52,7,Z001-150-500,Castor Wheels Ø150x50 Without brake,NOS,4.0,04-03-2021,10-03-2021,17-03-2021,N0231,9,22-03-2021,,8
53,5,H035-025-025,SPLIT PIN - DIA 2.5X25-ISO 549,NOS,104.0,04-03-2021,06-03-2021,06-03-2021,N0231,11,08-03-2021,,9
54,5,H035-004-040,SPLIT PIN - DIA 4X40 -ISO 549,NOS,26.0,04-03-2021,06-03-2021,06-03-2021,N0231,11,08-03-2021,,9
55,13,B021-012-010,PAP BUSH - 1210 - P10 - ID 12 x OD 14 x 10L,NOS,4.0,13-03-2021,14-03-2021,19-03-2021,J0141,12,22-03-2021,,10
56,13,E100-181-015,"Type:-Gas Spring ,Type of Gas Spring:-Mounting Direction Fixed Type ,Stroke:-100MM, Min Length:-181 ,Cylinder Dia(Ø):-15, Part number:- GS142",NOS,2.0,13-03-2021,13-03-2021,19-03-2021,J0141,12,22-03-2021,,10
57,12,C900-000-004,WIRE ROPE - DIA 4,MTR,10.0,13-03-2021,13-03-2021,Available,N0235,15,30-03-2021,,11
58,12,C900-000-006,WIRE ROPE - DIA 6,MTR,48.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
59,12,C920-000-004,Wire Rope U CLAMP - M4,NOS,32.0,13-03-2021,13-03-2021,Available,N0235,15,31-03-2021,,11
60,12,C920-000-006,Wire Rope U CLAMP - M6,NOS,96.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
61,12,H002-012-060,CSK ALLEN SCREW - IS 6761 - GRADE 12.9 -M12X60,NOS,48.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
62,12,H023-008-125,HEX NUT- IS 1364 - M8X1.25 - GRADE-8,NOS,224.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
63,12,H023-012-175,HEX NUT- IS 1364 - M12X1.75 - GRADE-10,NOS,96.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
64,12,H024-010-000,NYLOCK NUT- M10,NOS,22.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
65,12,H004-008-035,HEX BOLT - IS 1364 - GRADE 10.9 - M8X35,NOS,32.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
66,12,H025-008-000,WELD HEX NUT - M8,NOS,192.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
67,12,H004-012-035,HEX BOLT - IS 1364 - GRADE 10.9 - M12X35,NOS,46.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
68,12,H004-010-100,HEX BOLT - IS 1364 - GRADE 10.9 - M10X100,NOS,22.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
69,12,H042-010-000,"PUNCHED WASHER TYPE A - M10 (OD=21, ID=11, T=2) - IS 2016 -1967",NOS,44.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
70,12,H042-012-000,"PUNCHED WASHER TYPE A - M12 (OD=24, ID=14, T=2.5) - IS 2016 -1967",NOS,192.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
71,12,H044-012-000,"SPRING WASHER - M12 (OD=18, ID=12.2, T=2.5) - IS 3063 - 1972",NOS,192.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
72,12,H024-012-000,NYLOCK NUT - M12,NOS,46.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
73,12,H004-008-025,HEX BOLT - IS 1364 - GRADE 10.9 - M8X25,NOS,224.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
74,12,H004-112-070,HEX BOLT-IS 1364-GRADE 10.9 - M12X70 (FULL THREAD),NOS,96.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
75,12,B101-025-052,BALL BEARING - 6205 ZZ - 25 X 52 X 15 - KGN MAKE,NOS,124.0,13-03-2021,13-03-2021,Confirmation required,N0235,15,30-03-2021,,11
76,12,K000-001-003,Stopper M6-Rubber,NOS,32.0,13-03-2021,13-03-2021,Planned,N0235,15,,,11
77,12,K000-001-004,Pin Bearing - Dia25x50-MS,NOS,46.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
78,12,K000-001-005,"Spacer Bearing ID25, OD32, Th5",NOS,92.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
79,12,K000-001-008,Retainer Pin,NOS,23.0,13-03-2021,13-03-2021,Available,N0235,15,30-03-2021,,11
80,12,K000-001-011,Shoulder Washer,NOS,64.0,13-03-2021,13-03-2021,Planned,N0235,15,30-03-2021,,11
81,12,K000-001-015,Z-PLATE CROSS TROLLEY BLUE ZINC PLATED Dia-17,NOS,46.0,13-03-2021,13-03-2021,Available,N0235,15,31-03-2021,,11
82,12,K000-001-016,PIN Dia -16,NOS,23.0,13-03-2021,13-03-2021,Available,N0235,15,30-03-2021,,11
83,12,K005-001-001,Weldment Cross Trolley,NOS,16.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
84,12,K005-001-003,Weldment Cross Rail Support,NOS,16.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
85,12,K005-002-001,Weldment Plate Load Trolley,NOS,7.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
86,12,K005-003-001,Weldment Channel Support C-75 100L,NOS,16.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
87,12,K005-004-001,Weldment Joint Coupler,NOS,48.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
88,12,K000-000-006,Square Nut M12,NOS,144.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
89,12,K000-000-007,Clamp Beam,NOS,96.0,13-03-2021,13-03-2021,Planned,N0235,15,28-03-2021,,11
90,12,K005-006-001,Beam Support,NOS,48.0,13-03-2021,13-03-2021,Planned,N0235,15,28-03-2021,,11
91,12,K005-007-001,RUBBER PAD FOR C63,NOS,22.0,13-03-2021,13-03-2021,Planned,N0235,15,,,11
92,12,Z063-063-005,LONG RAIL 63 - 6MTR,NOS,20.0,13-03-2021,13-03-2021,Planned,N0235,15,,,11
93,12,Z121-222-500,Hoist 500KG,NOS,7.0,13-03-2021,13-03-2021,Planned,N0235,15,,,11
94,12,Z004-005-025,Cross Rail (63)- 2.5Mtr,NOS,6.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
95,12,Z005-006-055,Cross Rail (63)- 5.6Mtr,NOS,1.0,13-03-2021,13-03-2021,Planned,N0235,15,31-03-2021,,11
96,12,C900-000-004,WIRE ROPE - DIA 4,MTR,10.0,13-03-2021,13-03-2021,Available,N0235,15,31-03-2021,,11
97,20,B001-015-032,Ball Bearing - 6002 Zz - 15 x 32 x 9 - SKF,NOS,16.0,22-03-2021,21-03-2021,21-03-2021,N0231,19,21-03-2021,,12
