Id,SysDate,SysTime,SessionId,CompId,FinYearId,BVRNo,Types,ReceiveType,ReceivedFrom,InvoiceNo,ChequeNo,ChequeDate,ChequeReceivedBy,BankName,BankAccNo,ChequeClearanceDate,Narration,Amount,DrawnAt,TransactionType,WONo,BGGroup
13,2013-12-13,18:00:37,sapl0173,1,1,0012,3,2,T009,"154, 179, 180, 153, 181",280000,2013-04-22,Sapl0050,IDBI,-,2013-04-24,-,1294887.26,5,4,,
14,2013-12-13,18:02:36,sapl0173,1,1,0013,3,2,P001,067,952517,2013-04-23,Sapl0050,AXIS BANK,-,2013-04-25,-,103203.49,3,4,,
15,2013-12-13,18:04:15,sapl0173,1,1,0014,4,2,P001,S-005,952517,2013-04-23,Sapl0050,AXIS BANK,-,2013-04-25,-,61796.51,3,4,,
16,2013-12-13,18:08:01,sapl0173,1,1,0015,3,2,P002,142,288000,2013-04-24,Sapl0050,SBI,-,2013-04-24,-,217479.8,5,4,,
17,2013-12-16,12:08:40,sapl0173,1,1,0016,2,2,M018,21,814152,2013-04-30,Sapl0050,SBI,-,2013-05-02,-,7164.0,3,4,,
18,2013-12-16,12:10:49,sapl0173,1,1,0017,3,2,A016,0003,-,2013-05-01,Sapl0050,-,-,2013-05-01,-,19135.0,5,2,,
19,2013-12-16,12:16:20,sapl0173,1,1,0018,3,2,C002,"122,111,112,114,115,113,116,117,118,119,120,121,123,128,134,137",-,2013-05-04,Sapl0050,idbi,-,2013-05-04,,753480.0,5,2,,
20,2013-12-16,12:18:41,sapl0173,1,1,0019,4,2,C002,S-08/12-13,0,2013-05-04,Sapl0050,-,-,2013-05-04,-,17110.0,5,2,,
21,2013-12-16,12:20:34,sapl0173,1,1,0020,3,2,A017,0016/13-14,892814,2013-05-06,Sapl0050,HDFC ,-,2013-05-08,-,104292.55,5,4,,
22,2013-12-16,12:23:42,sapl0173,1,1,0021,2,2,T013,"106,107,149,150,151,152",2800003816,2013-05-08,Sapl0050,IDBI,-,2013-12-08,-,1830000.0,5,1,,
23,2013-12-16,12:26:08,sapl0173,1,1,0022,2,2,C012,219,2800003816,2013-05-08,Sapl0050,IDBI,-,2013-05-08,-,600000.0,5,1,,
24,2013-12-16,12:29:43,sapl0173,1,1,0023,3,2,T013,"0029,0030,0031, 0032,0033,0034,0035,0036,0037,0038,0039",2000044908,2013-05-10,Sapl0050,IDBI,-,2013-05-10,-,66869.0,5,1,,
25,2013-12-16,12:30:49,sapl0173,1,1,0024,3,2,A002,0008/13-14,753924,2013-05-10,Sapl0050,BOM,-,2013-05-14,-,81304.0,5,4,,
26,2013-12-16,12:32:14,sapl0173,1,1,0025,3,2,M018,33,827880,2013-05-15,Sapl0050,SBI,-,2013-05-15,-,27368.0,5,4,,
27,2013-12-16,12:37:03,sapl0173,1,1,0026,2,2,M001,38,-,2013-05-28,Sapl0050,STANDARD CHARTERED,-,2013-12-28,-,834375.0,5,1,,
28,2013-12-16,12:38:13,sapl0173,1,1,0027,2,2,M018,-,-,2013-05-28,Sapl0050,-,-,2013-05-28,-,30977.82,5,1,,
29,2013-12-16,12:39:32,sapl0173,1,1,0028,3,2,C002,"147,148,151,157,158,159",RTGS,2013-05-30,Sapl0050,CITI BANK,-,2013-05-30,-,358394.0,5,1,,
30,2013-12-16,12:41:55,sapl0173,1,1,0029,3,2,P001,"124,125,126",952570,2013-06-08,Sapl0050,AXIS BANK,-,2013-06-08,-,625000.0,3,4,,
31,2013-12-16,12:43:29,sapl0173,1,1,0030,2,2,P001,IN00032365,952563,2013-06-08,Sapl0050,AXIS BANK,-,2013-06-08,-,405000.0,3,4,,
32,2013-12-16,12:45:52,sapl0173,1,1,0031,3,2,B006,185,104422,2013-06-10,Sapl0050,-,-,2013-06-11,-,96071.0,5,4,,
33,2013-12-16,12:48:03,sapl0173,1,1,0032,3,2,C005,144,252506,2013-06-11,Sapl0050,-,-,2013-06-13,-,56236.0,3,4,,
34,2013-12-16,12:49:28,sapl0173,1,1,0033,3,2,T013,062,2800008082,2013-06-12,Sapl0050,IDBI,-,2013-06-12,-,264706.0,5,4,,
35,2013-12-16,12:52:56,sapl0173,1,1,0034,3,2,C011,038/12-13,130617345195,2013-06-17,Sapl0050,-,-,2013-06-18,-,90444.25,5,4,,
36,2013-12-16,12:55:08,sapl0173,1,1,0035,3,2,A016,0072,NEFT,2013-06-19,Sapl0050,-,-,2013-06-19,-,9154.0,5,2,,
37,2013-12-16,12:58:32,sapl0173,1,1,0036,3,2,C011,-,RTGS,2013-06-20,Sapl0050,-,-,2013-06-20,-,995750.0,5,1,,
38,2013-12-16,13:00:45,sapl0173,1,1,0037,3,2,P011,"0092, 0093",084681,2013-06-26,Sapl0050,UNION BANK,-,2013-06-27,-,34585.0,3,4,,
39,2013-12-16,13:02:21,sapl0173,1,1,0038,3,2,C004,0088,160344,2013-06-26,Sapl0050,STANDARD CHARTERED,-,2013-06-26,-,265113.75,5,1,,
40,2013-12-16,13:04:39,sapl0173,1,1,0039,3,2,C002,"217,210,211,206,209,175,176,186,187,188,189,190,192,193,194,195,191,201,202,213",RTGS,2013-07-02,Sapl0050,-,-,2013-07-02,-,1217061.0,5,1,,
41,2013-12-16,13:47:50,sapl0173,1,1,0040,2,2,C004,-,-,2013-07-02,Sapl0050,-,-,2013-07-02,-,195750.0,5,4,,
42,2013-12-16,13:51:04,sapl0173,1,1,0041,3,2,M006,-,RTGS,2013-07-02,Sapl0050,-,-,2013-07-02,-,4442000.0,5,1,,
43,2013-12-16,13:52:11,sapl0173,1,1,0042,3,2,N002,0070,905404,2013-07-03,Sapl0050,IDBI,-,2013-07-12,-,451162.7,5,4,,
45,2013-12-16,13:56:29,sapl0173,1,1,0043,3,2,W003,0102/13-14,288913,2013-07-09,Sapl0050,UNION BANK,-,2013-07-12,-,15358.21,5,4,,
46,2013-12-16,13:57:48,sapl0173,1,1,0044,2,2,P001,64,952589,2013-07-09,Sapl0050,AXIS BANK,-,2013-07-12,-,1200000.0,5,4,,
47,2013-12-16,14:04:17,sapl0173,1,1,0045,3,2,M001,"0055,0056",-,2013-07-12,Sapl0050,STANDARD CHARTERED,-,2013-07-12,-,60991.0,5,4,,
48,2013-12-16,14:05:33,sapl0173,1,1,0046,3,2,G015,0101/13-14,224201,2013-07-13,Sapl0050,SBI,-,2013-07-17,-,269496.0,5,4,,
49,2013-12-16,14:06:36,sapl0173,1,1,0047,3,2,T002,0097,-,2013-07-17,Sapl0050,IDBI,-,2013-07-17,-,662564.45,5,4,,
50,2013-12-16,14:08:38,sapl0173,1,1,0048,3,2,P009,"0103,131,145",41350,2013-07-18,Sapl0050,-,-,2013-07-18,-,18607.0,5,4,,
51,2013-12-16,14:10:24,sapl0173,1,1,0049,3,2,C011,"0043, 0044, 0051, 0083, 0090",12-8491,2013-07-25,Sapl0050,STANDARD CHARTERED,-,2013-07-25,-,5155750.0,5,4,,
52,2013-12-16,14:11:47,sapl0173,1,1,0050,3,2,C004,0017,12-849,2013-07-25,Sapl0050,STANDARD CHARTERED,-,2013-07-25,-,81000.0,5,4,,
53,2013-12-16,14:16:47,sapl0173,1,1,0051,3,2,P001,0077,285160,2013-07-26,Sapl0050,AXIS BANK,-,2013-07-26,-,44242.0,3,4,,
54,2013-12-16,14:17:58,sapl0173,1,1,0052,3,2,V002,012/12-13,NEFT,2013-07-29,Sapl0050,CITI BANK,-,2013-07-29,-,78877.0,5,2,,
55,2013-12-16,14:22:20,sapl0173,1,1,0053,3,2,C002,"0004,0005,0006,0010,0011,0012,0013,0014,0015,0018,0019,0020,0021,0026,0027,0028,0042,0045",-,2013-08-01,Sapl0050,-,-,2013-08-01,-,1324426.0,5,1,,
56,2013-12-16,14:24:07,sapl0173,1,1,0054,3,2,C004,"0017,0043,0044,0051,0083,0090,038,212",NEFT,2013-08-01,Sapl0050,-,-,2013-08-01,-,1133000.0,5,2,,
57,2013-12-16,14:26:01,sapl0173,1,1,0055,3,2,M001,0073,-,2013-08-05,Sapl0050,STANDARD CHARTERED,-,2013-08-05,-,12008.0,5,2,,
58,2013-12-16,14:28:13,sapl0173,1,1,0056,3,2,A022,0114,150087,2013-08-10,Sapl0050,CANARA BANK,-,2013-08-13,-,74458.0,5,4,,
59,2013-12-16,14:30:24,sapl0173,1,1,0057,2,3,M004,-,509833,2013-08-16,Sapl0050,HDFC,-,2013-08-19,-,22007.8,5,4,,
60,2013-12-16,14:33:20,sapl0173,1,1,0058,3,2,A003,0025/13-14,290566,2013-08-19,Sapl0050,SBI,-,2013-08-21,-,14221.0,5,4,,
61,2013-12-16,14:34:49,sapl0173,1,1,0059,3,2,P002,0007,290566,2013-08-19,Sapl0050,SBI,-,2013-08-21,-,9101.0,3,4,,
62,2013-12-16,14:36:21,sapl0173,1,1,0060,3,2,P003,0011,290566,2013-08-19,Sapl0050,SBI,-,2013-08-19,-,6826.0,3,4,,
63,2013-12-16,14:40:28,sapl0173,1,1,0061,3,2,M007,96,-,2013-08-20,Sapl0050,-,-,2013-08-20,-,900664.0,5,4,,
64,2013-12-16,14:41:38,sapl0173,1,1,0062,2,2,T011,-,012952,2013-08-22,Sapl0050,UNION BANK,-,2013-08-24,-,226000.0,3,4,,
65,2013-12-16,14:42:48,sapl0173,1,1,0063,2,2,M001,100,-,2013-08-22,Sapl0050,STANDARD CHARTERED,-,2013-08-22,-,5922500.0,5,4,,
66,2013-12-16,14:44:09,sapl0173,1,1,0064,2,2,P001,103,952656,2013-08-27,Sapl0050,AXIS BANK,-,2013-08-27,-,810000.0,3,4,,
67,2013-12-16,14:47:46,sapl0173,1,1,0065,3,2,C002,"0080,0081,0057,0064,0054,0049,0050,0079,0071,0075,0078,0060,0061,0063,0062,0068,0067,0059,0058,0053",-,2013-08-28,Sapl0050,-,-,2013-08-28,-,1274152.0,3,4,,
68,2013-12-16,14:56:22,sapl0173,1,1,0066,2,2,J002,0074,-,2013-09-02,Sapl0050,NEFT,-,2013-09-02,-,23724.0,5,2,,
69,2013-12-16,14:58:26,sapl0173,1,1,0067,3,2,A002,0115,028632,2013-09-03,Sapl0050,BOM,-,2013-09-05,-,240271.0,3,2,,
70,2013-12-16,15:01:54,sapl0173,1,1,0068,3,2,A004,058,011993,2013-09-12,Sapl0050,BANK OF BARODA,-,2013-09-12,-,225000.0,5,4,,
71,2013-12-16,15:04:18,sapl0173,1,1,0069,3,2,N002,114,450042,2013-09-12,Sapl0050,ICICI,-,2013-09-13,-,50129.0,3,4,,
72,2013-12-16,15:07:59,sapl0173,1,1,0070,2,2,P001,-,95268,2013-12-14,Sapl0050,AXIS BANK,-,2013-12-16,-,1200000.0,5,2,,
73,2013-12-16,15:09:20,sapl0173,1,1,0071,3,2,A018,058,011994,2013-09-17,Sapl0050,IDBI,-,2013-09-19,-,225000.0,5,2,,
74,2013-12-16,15:17:01,sapl0173,1,1,0072,3,2,M001,120,NEFT,2013-09-18,Sapl0050,-,-,2013-09-18,-,31601.0,5,2,,
75,2013-12-16,15:18:51,sapl0173,1,1,0073,3,2,M007,"0116,0112,0120,0122,0126",-,2013-09-27,Sapl0050,STANDARD CHARTERED,-,2013-09-27,-,444910.0,5,2,,
76,2013-12-16,15:37:15,sapl0173,1,1,0074,3,2,M007,128,SIN00292Q0466618,2013-10-01,Sapl0050,STANDARD CHARTERED,-,2013-10-01,-,37125.0,5,4,,
77,2013-12-16,15:38:16,sapl0173,1,1,0075,3,2,B006,0128,RTGS,2013-10-01,Sapl0050,-,-,2013-10-01,-,197305.0,5,1,,
78,2013-12-16,15:41:12,sapl0173,1,1,0076,3,2,C002,"S-01,0082,0076,0087,0069",TR-3073274116/0,2013-10-01,Sapl0050,CITI BANK,-,2013-10-01,-,409844.0,5,1,,
79,2013-12-16,15:42:28,sapl0173,1,1,0077,2,1,Sapl0002,53,RTGS,2013-10-03,Sapl0050,-,-,2013-10-03,-,459066.0,3,1,,
80,2013-12-16,15:44:14,sapl0173,1,1,0078,3,2,M007,132,UTR-SIN00292Q0467457,2013-10-04,Sapl0050,-,-,2013-10-04,-,139044.0,5,4,,
81,2013-12-16,15:45:46,sapl0173,1,1,0079,3,2,A016,"0137,0140",UTR-CITIN13368915977,2013-10-07,Sapl0050,-,-,2013-10-07,-,19117.05,5,1,,
82,2013-12-16,15:47:21,sapl0173,1,1,0080,2,2,M001,138,NEFT,2013-10-09,Sapl0050,-,-,2013-10-09,-,32428.0,5,2,,
83,2013-12-16,15:50:11,sapl0173,1,1,0081,3,2,A003,"0140,FY 12 13, S-11/12-13",895197,2013-10-17,Sapl0050,HDFC,-,2013-10-19,-,30943.94,3,4,,
84,2013-12-16,15:52:08,sapl0173,1,1,0082,3,2,C004,0142,SIN05451Q0029764,2013-10-17,Sapl0050,STANDARD CHARTERED,-,2013-10-17,-,96000.0,5,1,,
85,2013-12-16,16:01:26,sapl0173,1,1,0083,2,2,M001,-,NEFT,2013-10-18,Sapl0050,-,-,2013-10-18,-,3795624.0,5,2,,
86,2013-12-16,16:22:29,sapl0173,1,1,0084,3,2,C005,0139,239782,2013-10-20,Sapl0050,AXIS BANK,-,2013-11-16,-,82163.0,3,4,,
87,2013-12-16,16:24:04,sapl0173,1,1,0085,2,2,M006,-,RTGS,2013-10-23,Sapl0050,ICICI,-,2013-10-23,-,2220000.0,5,4,,
88,2013-12-16,16:26:50,sapl0173,1,1,0086,2,2,C002,-,NEFT -CITIN13372536527,2013-10-24,Sapl0050,-,-,2013-10-24,-,98596.0,5,2,,
89,2013-12-16,16:33:46,sapl0173,1,1,0087,3,2,A004,"013,014,026",168754,2013-10-28,Sapl0050,HDFC,-,2013-10-30,-,3994680.0,5,2,,
90,2013-12-16,16:35:49,sapl0173,1,1,0088,3,2,G004,0095,881502,2013-10-30,Sapl0050,SBI,-,2013-11-01,-,316000.0,5,4,,
91,2013-12-16,16:42:38,sapl0173,1,1,0089,3,2,C002,"0089,0094,0096,0104,0105,0106,0107,0108,0109,0110,0111",RTGS-CITI13303402061,2013-10-30,Sapl0050,-,-,2013-10-30,-,1039882.0,5,1,,
92,2013-12-16,16:44:13,sapl0173,1,1,0090,3,2,M018,"0040,0041",984024,2013-10-30,Sapl0050,SBI,-,2013-10-31,-,19040.18,3,4,,
93,2013-12-16,16:46:54,sapl0173,1,1,0091,3,2,M007,"120,121,128,0022/13-14",RTGS/SCBLH13304000648,2013-10-31,Sapl0050,-,-,2013-10-31,-,229211.0,5,4,,
94,2013-12-16,16:49:03,sapl0173,1,1,0092,2,2,B008,157,RTGS,2013-11-12,Sapl0050,-,-,2013-11-12,-,1500000.0,3,1,,
95,2013-12-16,16:50:46,sapl0173,1,1,0093,3,2,A016,0152,CITIN13379704759,2013-11-21,Sapl0050,IDBI,-,2013-11-21,-,33023.0,5,2,,
96,2013-12-16,16:52:03,sapl0173,1,1,0094,3,2,M001,166,UTR-SIN00292Q0481938,2013-11-26,Sapl0050,STANDARD CHARTERED,-,2013-11-26,-,23587.0,5,1,,
97,2013-12-16,16:54:22,sapl0173,1,1,0095,2,2,M017,167,RTGS-KKBKH13331305038,2013-11-27,Sapl0050,-,-,2013-11-27,-,10000000.0,5,1,,
98,2013-12-16,16:55:51,sapl0173,1,1,0096,3,2,M001,168,SCBLH13333002936,2013-11-29,Sapl0050,STANDARD CHARTERED,-,2013-11-29,-,1275000.0,5,1,,
99,2013-12-16,16:58:05,sapl0173,1,1,0097,3,2,C002,"0048,0079,0089,0111,0117,0118,,0119,0123,0124,0125,0129,0130,0131,0132,0133",RTGS/CITI13333400174,2013-11-29,Sapl0050,-,-,2013-11-29,-,936534.0,5,1,,
100,2013-12-16,17:00:10,sapl0173,1,1,0098,2,2,M017,173,KKBKH13338629622,2013-12-04,Sapl0050,-,-,2013-12-04,-,10000000.0,5,1,,
101,2013-12-16,17:04:30,sapl0173,1,1,0099,3,2,J002,"0113,0135",NEFT,2013-12-12,Sapl0050,-,-,2013-12-12,-,62980.27,5,2,,
102,2014-05-29,11:12:29,sapl0173,1,2,0001,3,2,A016,0215/13-14,NEFT,2014-04-03,Sapl0050,Citibank,0,2014-04-03,-,105.0,5,2,P0016,0
103,2014-05-29,12:33:12,sapl0173,1,2,0002,3,2,M019,0213/13-14,019319,2014-04-11,Sapl0050,cosmos,0,2014-05-22,-,18191.0,3,2,S0044,0
104,2014-05-29,12:35:25,sapl0173,1,2,0003,3,2,K005,0191/13-14,011376,2014-04-14,Sapl0050,HDFC Bank,0,2014-04-22,-,478822.5,3,4,N0022,0
105,2014-05-29,12:53:07,sapl0173,1,2,0004,2,2,M001,15,-,2014-04-16,Sapl0050,-,0,2014-04-16,-,1687590.0,5,1,N0072,0
106,2014-05-29,14:06:53,sapl0173,1,2,0005,2,2,T011,"0197,0196,0200,143",001890,2014-04-21,Sapl0050,ICICI Bank,0,2014-04-26,-,399706.0,3,4,N0052,0
108,2014-05-29,14:10:10,sapl0173,1,2,0007,4,2,A016,S-08,-,2014-04-23,Sapl0050,IDBI Bank,0,2014-04-23,-,8989.0,5,2,P0016,0
109,2014-05-29,14:12:41,sapl0173,1,2,0008,3,2,A016,0216,-,2014-04-23,Sapl0050,Citibank,0,2014-04-23,-,15952.0,5,2,P0016,0
110,2014-05-29,14:14:20,sapl0173,1,2,0009,3,2,N003,002,006528,2014-04-27,Sapl0050,ICICI Bank,0,2014-05-14,-,36958.22,3,4,S0050,0
111,2014-05-29,14:17:49,sapl0173,1,2,0010,3,2,M006,-,004798,2014-04-21,Sapl0050,ICICI Bank,0,2014-04-21,-,1110500.0,7,4,N0023,0
112,2014-05-29,14:18:58,sapl0173,1,2,0011,3,2,M006,-,-,2014-04-21,Sapl0050,Axis Bank,0,2014-04-22,-,3331500.0,3,4,N0023,0
113,2014-05-29,14:20:27,sapl0173,1,2,0012,3,2,B008,-,-,2014-05-23,Sapl0050,-,0,2014-05-23,-,1000000.0,3,4,N0055,0
114,2014-05-29,14:23:31,sapl0173,1,2,0013,3,2,A004,0221,014080,2014-05-27,Sapl0050,NKGSB,0,2014-05-29,-,270755.0,3,4,S0043,0
115,2014-05-29,14:26:24,sapl0173,1,2,0014,3,2,A002,"001,004,0151",092510,2014-05-28,Sapl0050,BOM,0,2014-05-29,-,109038.58,3,4,S0049,0
116,2014-05-29,14:28:53,sapl0173,1,2,0015,3,2,A003,"0176,0218",433989,2014-05-28,Sapl0050,SBI,0,2014-05-29,-,44485.71,3,4,S0033,0
117,2014-07-14,14:06:37,Sapl0050,1,2,0016,3,2,A012,0215/13-14,NEFT RECIVED,2014-04-08,Sapl0050,IDBI Bank,-,2014-04-08,,6455.04,5,4,P0016,0
118,2014-07-14,16:30:30,Sapl0050,1,2,0017,3,2,A012,"0216,s - 08",NEFT RECIVED,2014-04-23,Sapl0050,NEFT RECEIVED,-,2014-04-23,-,24941.0,5,4,P0018,0
119,2014-07-14,17:08:26,Sapl0050,1,2,0018,2,2,M017,ADVANCE,RTGS,2014-06-03,Sapl0050,IDBI Bank,-,2014-06-03,-,664333.0,5,1,N0068,0
120,2014-07-14,17:11:50,Sapl0050,1,2,0019,2,2,A025,0 ,NEFT RECIVED,2014-06-09,Sapl0050,NEFT,-,2014-06-09,-,8701.0,5,2,P0016,0
121,2014-07-14,17:23:15,Sapl0050,1,2,0020,3,2,M004,0 ,NEFT RECIVED,2014-06-11,Sapl0050,IDBI Bank,-,2014-06-11,-,99022.0,5,2,N0075,0
122,2014-07-17,09:56:56,Sapl0050,1,2,0021,3,2,T002,0016/13-14,RTGS,2014-06-12,Sapl0050,-,-,2014-06-12,-,1281193.0,5,1,N0071,0
123,2014-07-17,14:58:36,Sapl0050,1,2,0022,3,2,M017,0046,-,2014-06-30,Sapl0050,IDBI Bank,-,2014-06-30,-,3000000.0,5,1,N0046,0
124,2014-07-22,18:42:43,Sapl0050,1,2,0023,3,2,M001,ADVANCE ,-,2014-07-02,Sapl0050,IDBI Bank,-,2014-07-02,-,742645.0,1,1,N0062,0
125,2014-07-22,19:03:22,Sapl0050,1,2,0024,3,2,M017,ADVNACE,-,2014-07-07,Sapl0050,IDBI Bank,-,2014-07-07,-,3000000.0,5,1,N0049,0
126,2014-07-22,19:15:25,Sapl0050,1,2,0025,3,2,M017,ADVANCE,RTGS,2014-07-09,Sapl0050,IDBI Bank,-,2014-07-09,-,2503370.0,1,1,N0046,0
127,2014-07-22,19:20:18,Sapl0050,1,2,0026,3,2,M001,ADVANCE,RTGS,2014-07-09,Sapl0050,IDBI Bank,-,2014-07-09,-,1765750.0,5,1,N0039,0
128,2014-07-24,10:11:39,Sapl0050,1,2,0027,3,2,T002,0,RTGS,2014-07-15,Sapl0050,IDBI Bank,-,2014-07-15,-,869481.11,5,1,n0066,0
129,2014-07-24,11:18:14,Sapl0050,1,2,0028,2,2,M009,-,004798,2014-04-21,Sapl0050,-,-,2014-04-23,-,1110500.0,7,4,s0058,0
130,2014-07-24,11:48:28,Sapl0050,1,2,0029,5,1,Sapl0110,0 ,RTGS,2014-04-22,Sapl0050,Dena Bank,-,2014-04-22,-,900000.0,7,1,,8
131,2014-07-24,12:36:30,Sapl0050,1,2,0030,3,2,A019,0020/14-15,445772,2014-06-27,Sapl0050,sbi,-,2014-06-30,-,258350.18,7,4,S0055,0
132,2014-07-24,12:49:18,Sapl0050,1,2,0031,5,1,Sapl0110,0 ,RTGS,2014-06-28,Sapl0050,Dena Bank,-,2014-06-28,-,855000.0,7,1,,8
133,2014-07-24,15:05:47,Sapl0050,1,2,0032,3,2,N003,002/0049,RTGS,2014-06-25,Sapl0050,Axis Bank,-,2014-06-25,-,215460.0,3,1,S0054,0
134,2014-07-24,15:27:09,Sapl0050,1,2,0033,3,2,A019,0025 ,445725,2014-06-23,Sapl0050,Axis Bank,-,2014-06-25,-,504106.0,3,4,S0053,0
135,2014-07-24,16:30:29,Sapl0050,1,2,0034,3,2,B008,004,RTGS,2014-06-07,Sapl0050,Axis Bank,-,2014-06-07,-,3000000.0,3,1,N0055,0
136,2014-07-25,11:44:34,Sapl0050,1,2,0035,3,2,J002,0 ,RTGS,2014-05-29,Sapl0050,Axis Bank,-,2014-05-29,-,625000.0,3,1,S0040,0
137,2014-07-25,11:52:26,Sapl0050,1,2,0036,3,2,A019,0176/0218,433989,2014-05-28,Sapl0050,Sbi,-,2014-05-30,-,44485.71,3,4,S0053,0
138,2014-07-25,12:04:50,Sapl0050,1,2,0037,3,2,A002,001/004/0151,092510,2014-05-28,Sapl0050,Bom,-,2014-05-30,-,109038.58,3,4,S0049,0
139,2014-07-25,12:27:36,Sapl0050,1,2,0038,3,2,A027,0221,014080,2014-05-27,Sapl0050,nkgsb,-,2014-05-29,,270755.0,3,4,N0070,0
140,2014-07-25,12:31:43,Sapl0050,1,2,0039,3,2,B008,0041,RTGS,2014-05-23,Sapl0050,Axis Bank,-,2014-05-23,-,1000000.0,1,1,n0055,0
141,2014-07-26,11:28:21,Sapl0050,1,2,0040,3,2,M018,0165,365797,2014-07-10,Sapl0050,State Bank of India,-,2014-07-14,-,17949.0,3,4,S0032,0
142,2014-07-26,11:30:32,Sapl0050,1,2,0041,3,2,C002,010/11/12/13/14,RTGS,2014-07-10,Sapl0050,-,-,2014-07-10,-,798331.0,3,1,J0002,0
143,2014-07-26,11:34:54,Sapl0050,1,2,0042,3,2,K007,0 ,12081,2014-07-12,Sapl0050,-,-,2014-07-15,-,187993.0,3,4,T0013,0
144,2014-07-26,11:36:52,Sapl0050,1,2,0043,3,2,K007,0,-,2014-07-12,Sapl0050,-,-,2014-07-15,-,238601.0,3,4,T0011,0
146,2018-03-06,10:22:26,sapl0031,1,5,0001,3,2,A018,"0070/16-17
0071/16-17",-,2017-04-07,Sapl0031,-,-,2017-04-07,"0070/-1066250
0071/-33750",1100000.0,9,2,N0146,0
147,2018-03-06,10:25:45,sapl0031,1,5,0002,3,2,A035,G-001/17-18,-,2017-04-07,Sapl0031,-,-,2017-04-07,,1.0,3,2,N0162,0
148,2018-03-06,10:41:30,sapl0031,1,5,0003,3,2,C015,0073/16-17,-,2017-04-12,Sapl0031,-,-,2017-04-12,,2071300.0,5,2,N0149,0
149,2018-03-06,10:51:28,sapl0031,1,5,0004,2,2,K008,-,-,2017-04-12,Sapl0031,-,-,2017-04-12,-,412500.0,3,2,N0133,0
150,2018-03-06,11:34:43,sapl0031,1,5,0005,3,2,M001,S-11/16-17,-,2017-04-13,Sapl0031,-,-,2017-04-13,,762750.0,5,2,N0147,0
151,2018-03-06,11:50:24,sapl0031,1,5,0006,3,2,O002,"0063/16-17
0064/16-17",-,2017-04-17,Sapl0031,-,-,2017-04-17,"0063/-64865
0064/-9577",74442.0,3,2,N0152,0
152,2018-03-06,11:52:12,sapl0031,1,5,0007,3,2,A035,G-001/17-18,-,2017-04-17,Sapl0031,-,-,2017-04-17,,475000.0,3,2,N0162,0
153,2018-03-06,11:56:42,sapl0031,1,5,0008,3,2,M024,0001/17-18,-,2017-04-18,Sapl0031,-,-,2017-04-18,,448635.0,5,2,N0136 ,0
154,2018-03-06,11:59:56,sapl0031,1,5,0009,3,2,M005,"0007/17-18
0044/16-17",-,2017-04-20,Sapl0031,-,-,2017-04-24,"0007/-140494.50
0044/-161971.88",302466.38,5,2,N0154,0
155,2018-03-06,12:01:28,sapl0031,1,5,0010,3,2,A018,0071/16-17,-,2017-04-21,Sapl0031,-,-,2017-04-21,,975000.0,9,2,N0146,0
156,2018-03-06,12:03:02,sapl0031,1,5,0011,3,2,A024,0038/16-17,-,2017-04-24,Sapl0031,-,-,2017-04-24,,73440.0,3,2,S0141,0
