Id,CustomerName,Address,GST,DCNo,DCDate,Attention,Contact,Responsible_By,Type,ItemCode,Description,HSN,Quantity,Rate,Amount,TQty,TAmt,Gst_per,GTotal,Remark,Transport,vehicleNo,LRNo,Acknowledgement,UOM,SysDate,SysTime,SessionId,CompId,FinYearId,GrandTotal,GSTWORDS
60,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00663-03-360,REST MYLER,0,2,1.0,2.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
61,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-15-110,PIN,0,97,1.0,97.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
62,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00663-05-480,L BKT,0,1,1.0,1.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
63,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00651-03-070,SPROCKET,0,2,1.0,2.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
64,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-05-060,ROLLER ASSEMBLY IDLER,0,12,1.0,12.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
65,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00651-07-050,SPROCKET,0,1,1.0,1.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
66,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,536,27-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00651-07-030,SPROCKET,0,2,1.0,2.0,187.0,187.0,0.0,187.0,FOR BLACKODISING,SELF,MH 12 FP 4744,NA,Received material in good condition,,,,,,,,
67,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-25-900,GUIDE ROD STOPPER,0,10,1.0,10.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
68,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-15-110,PIN,0,89,1.0,89.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
69,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00652-29-580,WELDMENT BKT,0,1,1.0,1.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
70,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00652-17-580,WELDMENT BKT,0,2,1.0,2.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
71,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00652-31-580,WELDMENT BKT,0,1,1.0,1.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
72,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00652-13-580,WELDMENT BKT,0,1,1.0,1.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
73,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00652-19-580,WELDMENT BKT,0,1,1.0,1.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
74,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-05-010,ROLLER ASSEMBLY IDLER,0,3,1.0,3.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
75,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,537,29-11-2019,Mr. Akshay Bhusari,9850898888,SHUBHANGI KHAWADGAVE,Returnable,00650-09-140,SUPPORT ROD,0,22,1.0,22.0,159.0,159.0,0.0,159.0,FOR BLACKODISING,SELF,MH 12 EG 9341,NA,Received material in good condition,,,,,,,,
