Id,MId,SessionId,CompId,FinYearId,ItemCode,Description,Qty
97,8,Sapl0005,1,1,501722752,RISER-(FR-101)FOR-A265101,1.0
98,8,Sapl0005,1,1,501722752,RISER-(FR-151)FOR-A265101,4.0
99,8,Sapl0005,1,1,501722752,RISER-(FR-201)FOR-A265101,2.0
100,8,Sapl0005,1,1,501722752,RISER-(FR-251)FOR-A265101,4.0
101,8,Sapl0005,1,1,501722752,RISER-(FR-401)FOR-A265101,3.0
102,8,Sapl0005,1,1,501722752,RISER-(FR-101)FOR-A265102,5.0
103,8,Sapl0005,1,1,501722752,RISER-(FR-151)FOR-A265102,2.0
104,8,Sapl0005,1,1,501722752,RISER-(FR-201)FOR-A265102,2.0
105,8,Sapl0005,1,1,501722752,RISER-(FR-251)FOR-A265102,6.0
106,8,Sapl0005,1,1,501722752,RISER-(FR-301)FOR-A265102,2.0
107,8,Sapl0005,1,1,501722752,RISER-(FR-401)FOR-A265102,3.0
108,9,Sapl0005,1,1,N36LONGRAIL,LONG RAIL 3.5MTRS WITH ITS ACCESSORIES,20.0
109,9,Sapl0005,1,1,N36CROSSRAIL,CROSS RAIL 3MTRS WITH ITS ACCESSORIES,10.0
110,9,Sapl0005,1,1,N77HOIST2TON,HOIST 2 TON APPLICATION ENGINE MOUNTING,1.0
111,9,Sapl0005,1,1,N7720064680011,CONTROL PANEL ASSEMBLY MANIPULATOR WEIGHT 40 - 80KG,1.0
112,9,Sapl0005,1,1,N7720064680011,BATTERY MANIPULATOR WEIGHT CARRYING FROM 40-50KG,1.0
113,9,Sapl0005,1,1,N80HOISTIR250KG,HOIST 250KG & ITS ACCESSORIES,3.0
114,9,Sapl0005,1,1,N78BOOMASSLY01,BOOM ASSEMBLY WITH TROLLEY APPLICATION,3.0
115,9,Sapl0005,1,1,N81X009435,STRUCTURE - ISMB 150-30 MTRS,4.0
116,9,Sapl0005,1,1,N83BLK65434001,STRUCTURE - MOUNTING PLATE- 500KG PER LINE,500.0
117,9,Sapl0005,1,1,N36LONGRAIL,LONG RAIL 3.5MTRS WITH ITS ACCESSORIES,4.0
118,10,Sapl0005,1,1,501706411,3024-05-21 R & L-L Bracket,2.0
119,10,Sapl0005,1,1,501706411,## 3024-01-31L-Pad,1.0
120,11,Sapl0005,1,1,1,GUN RAIL-HOIST TROLLY FOR C63,5.0
121,11,Sapl0005,1,1,2,GUN RAIL-LONG C63,20.0
122,12,Sapl0005,1,1,1,MANUAL TOD REQUIRED IN CYLINDER HEAD LINE FOR VALVE ASSEMBLY,1.0
123,13,Sapl0005,1,1,1,MULTI SPOT WELDING SPM,1.0
124,14,Sapl0005,1,1,1,WELDING FIXTURES OF HEPA ASSEMBLY(Total 10 fixtures with gearbox),1.0
125,15,Sapl0005,1,1,1,Overhead Transfer for SFC 407 Partial Body,3.0
126,16,Sapl0005,1,1,1,ASSY PANEL PLENUM INNER CHECKING FIXTURE,1.0
127,17,Sapl0005,1,1,1,ASSY SUSPENSION TOWER LH,1.0
128,17,Sapl0005,1,1,2,ASSY SUSPENSION TOWER FRONT RH,1.0
129,18,Sapl0005,1,1,1,ASSY FRONT END SIDE RAIL INNER RH,1.0
130,18,Sapl0005,1,1,1,ASSY FRONT END SIDE RAIL INNER LH,1.0
131,19,Sapl0005,1,1,1,ASSY FRT CRADLE RR MTG ASSY RH,1.0
132,19,Sapl0005,1,1,1,ASSY FRT CRADLE RR MTG ASSY LH,1.0
133,20,Sapl0005,1,1,501729374,3043-01-06-PIN,4.0
134,20,Sapl0005,1,1,501729374,3043-01-11-TROLLY,1.0
135,20,Sapl0005,1,1,501729374,3043-01-12-BRACKET,1.0
136,20,Sapl0005,1,1,501729374,3043-01-13-HANDLE 1,1.0
137,20,Sapl0005,1,1,501729374,3043-01-14 HANDLE 2,1.0
138,20,Sapl0005,1,1,501729374,3043-01-21-BUSH,4.0
139,20,Sapl0005,1,1,501729374,3043-01-22-PLATE,4.0
140,21,Sapl0005,1,1,601100100000630a,"OVERHEAD RAIL TYPE C-63, LOAD CAPACITY 400KG, WEIGHT - 6.53 KG/ M, WITH MOUNTING ACCESSORIES (CHANNEL SUPPORT & ANGLE STOPPER )",0.7
141,21,Sapl0005,1,1,601100100000630a,"OVERHEAD RAIL TYPE C-63, LOAD CAPACITY 400KG, WEIGHT - 6.53 KG/ M, WITH MOUNTING ACCESSORIES (CHANNEL SUPPORT & ANGLE STOPPER )",1.5
142,21,Sapl0005,1,1,601100100000630a,"OVERHEAD RAIL TYPE C-63, LOAD CAPACITY 400KG, WEIGHT - 6.53 KG/ M, WITH MOUNTING ACCESSORIES (CHANNEL SUPPORT & ANGLE STOPPER )",3.5
143,21,Sapl0005,1,1,601100100000630a,"OVERHEAD RAIL CURVED TRACK, TYPE C-63, BENDING ANGLE - 90 DEG, BENDING RADIUS - 1.2MTR, SUPPLY CURVED- 1.5MTR ( FOR RADIUS 1.2MTR) X 2NOS.",2.0
144,22,Sapl0005,1,1,501688170,PLC PANEL (FOR TVS),1.0
145,22,Sapl0005,1,1,501688170,PLC PANEL (FOR TVS),1.0
146,23,Sapl0005,1,1,501688053,PLC CONTROL PANEL,1.0
147,23,Sapl0005,1,1,501688053,PLC CONTROL PANEL,1.0
148,23,Sapl0005,1,1,501707076,PLC PANEL ASSY MF LINE,1.0
149,23,Sapl0005,1,1,501688053,PLC PANEL ASSY RUB LINE,1.0
150,24,Sapl0005,1,1,501704168,5102-ET- LA-03-01-TROLLEY FRAME,1.0
151,24,Sapl0005,1,1,501704168,5102-ET-FB-11-02-TROLLEY FRAME,1.0
152,24,Sapl0005,1,1,501704168,5102-ET-FP-13-03-TROLLEY FRAME,1.0
153,24,Sapl0005,1,1,501704168,5102-ET-MFL-01-TROLLEY FRAME,1.0
154,24,Sapl0005,1,1,501704168,5102-ET-BP-02-02-TROLLEY FRAME,1.0
155,24,Sapl0005,1,1,501666313,5102ET-BS19/20-06-6-TROLLEY,2.0
156,24,Sapl0005,1,1,501666313,5102ET-RF01-06-6-TROLLEY,1.0
157,24,Sapl0005,1,1,501666313,5102ET-BS27-01-TROLLEY,2.0
158,25,Sapl0005,1,1,710120009810,KEMPI 3146800 NECK ASSEMBLY,1.0
159,25,Sapl0005,1,1,710120009811,KEMPI 4182500 SWITCH,2.0
160,25,Sapl0005,1,1,710120009812,KEMPI 9769142 CONTACT BUSH,3.0
161,25,Sapl0005,1,1,710120009813,"KEMPI 9580122 CONTACT TIP 0,8/M8",50.0
162,25,Sapl0005,1,1,710120009814,KEMPI 4295740 CONTACT TIP ADAPTER M8,3.0
163,25,Sapl0005,1,1,710120009815,KEMPI 4295760 GAS NOZEL STANDARD M8-L-76,10.0
164,25,Sapl0005,1,1,710120009816,KEMPI 4294880 GAS DIFFUSER,6.0
165,25,Sapl0005,1,1,710120009817,KEMPI 3137900 CABLE SUPPORT TORCH END,2.0
166,25,Sapl0005,1,1,710120009818,KEMPI 6253043 PMT 30W MIG WELDING TORCH,1.0
167,25,Sapl0005,1,1,710120009819,KEMPI 6253044 PMT 30W 4.5M MIG WELD TORH,1.0
168,25,Sapl0005,1,1,710120009820,KEMPI 9771591 MACHINE SOCKET 70 MALE,2.0
169,25,Sapl0005,1,1,710120009821,KEMPI SP000745 MOTOR /GERBOX KPKFM4,1.0
170,25,Sapl0005,1,1,710120009822,KEMPI SP001349 AMPLIFIER CARD KFM4,1.0
171,25,Sapl0005,1,1,710120009823,KEMPI SP003508 A001 MXF 63/65,1.0
172,25,Sapl0005,1,1,710120009824,KEMPI W000613 SOLENOID VALVE,1.0
173,25,Sapl0005,1,1,710120009825,KEMPI W000626 PRESS LEVER F ADJ LEVER,3.0
174,25,Sapl0005,1,1,710120009826,KEMPI W000627 ADJ LEVER KNOB KFM2 /4MM,3.0
175,25,Sapl0005,1,1,710120009827,KEMPI W000632 PRESS LEVER 2 KMF4 ALUMINI,1.0
176,25,Sapl0005,1,1,710120009828,KEMPI W001047 FEED ROLL 8/1 KFM2/4 WHITE,2.0
177,25,Sapl0005,1,1,710120009829,KEMPI W001048 FEED ROLL 8/2 KFM2/4 WHITE,2.0
178,25,Sapl0005,1,1,710120009831,"KEMPI 3152750 AUX TRANS KM/KMS 300,400",1.0
179,25,Sapl0005,1,1,710120009834,KEMPI 9767892 TERMINAL BLOCK 12,1.0
180,25,Sapl0005,1,1,710120009835,KEMPI SP001205 CAPACITOR CARD Z002KM,1.0
181,25,Sapl0005,1,1,710120009836,KEMPI SP001206 SECONDARY CARD Z003 KM,1.0
182,25,Sapl0005,1,1,710120009839,KEMPI W001184 CHOKE KM/KMS 300-500,1.0
183,26,Sapl0005,1,1,501738527,RISER_CR-251_198301-127,1.0
184,27,Sapl0005,1,1,601100100000630a,OVERHEAD RAIL TYPE C63,10.5
185,27,Sapl0005,1,1,30A14008000S,"TROLLEY SET FOR XY RAIL, RAIL TYPE C63",1.0
186,28,Sapl0005,1,1,1,SUPPLY SET OF 2.5M CROSS RAIL WITH TROLLEYS,7.0
187,29,Sapl0005,1,1,501734306,RISER-(SP16-250)_FOR-7110,4.0
188,29,Sapl0005,1,1,501734306,RISER-(SP16-300)_FOR-7110,12.0
189,29,Sapl0005,1,1,501734306,RISER-(SP16-350)_FOR-7110,8.0
190,29,Sapl0005,1,1,501734306,RISER-(SP16-400)_FOR-7110,6.0
191,29,Sapl0005,1,1,501734306,SHIM-(SP50-1)_FOR-7110,2.0
192,29,Sapl0005,1,1,501734306,SHIM-(SP50-18)_FOR-7110,4.0
193,29,Sapl0005,1,1,501734306,SHIM-(SP50-3)_FOR-7110,2.0
194,29,Sapl0005,1,1,501734306,SHIM-(SP50-31)_FOR-7110,4.0
195,29,Sapl0005,1,1,501734306,SHIM-(SP50-32)_FOR-7110,40.0
196,29,Sapl0005,1,1,501734306,SHIM-(SP50-33)_FOR-7110,42.0
197,29,Sapl0005,1,1,501734306,SHIM-(SP50-36)_FOR-7110,80.0
198,29,Sapl0005,1,1,501734306,RISER-(SP15-150)_FOR-7510,2.0
199,29,Sapl0005,1,1,501734306,RISER-(SP16-200)_FOR-7510,2.0
200,29,Sapl0005,1,1,501734306,RISER-(SP16-250)_FOR-7510,8.0
201,29,Sapl0005,1,1,501734306,RISER-(SP16-300)_FOR-7510,10.0
202,29,Sapl0005,1,1,501734306,RISER-(SP16-350)_FOR-7510,8.0
203,29,Sapl0005,1,1,501734306,RISER-(SP16-400)_FOR-7510,2.0
204,29,Sapl0005,1,1,501734306,SHIM-(SP50-1)_FOR-7510,4.0
205,29,Sapl0005,1,1,501734306,SHIM-(SP50-31)_FOR-7510,2.0
206,29,Sapl0005,1,1,501734306,SHIM-(SP50-32)_FOR-7510,40.0
207,29,Sapl0005,1,1,501734306,SHIM-(SP50-33)_FOR-7510,52.0
208,29,Sapl0005,1,1,501734306,SHIM-(SP50-35)_FOR-7510,8.0
209,29,Sapl0005,1,1,501734306,SHIM-(SP50-36)_FOR-7510,46.0
210,29,Sapl0005,1,1,501734306,RISER-(SP15-150)_FOR-7520,4.0
211,29,Sapl0005,1,1,501734306,RISER-(SP16-200)_FOR-7520,10.0
212,29,Sapl0005,1,1,501734306,RISER-(SP16-250)_FOR-7520,2.0
213,29,Sapl0005,1,1,501734306,RISER-(SP16-300)_FOR-7520,6.0
214,29,Sapl0005,1,1,501734306,RISER-(SP16-350)_FOR-7520,4.0
215,29,Sapl0005,1,1,501734306,RISER-(SP16-400)_FOR-7520,2.0
216,29,Sapl0005,1,1,501734306,SHIM-(SP50-32)_FOR-7520,16.0
217,29,Sapl0005,1,1,501734306,SHIM-(SP50-33)_FOR-7520,42.0
218,29,Sapl0005,1,1,501734306,SHIM-(SP50-35)_FOR-7520,6.0
219,29,Sapl0005,1,1,501734306,SHIM-(SP50-36)_FOR-7520,30.0
220,29,Sapl0005,1,1,501734306,RISER-(SP15-150)_FOR-7120,2.0
221,29,Sapl0005,1,1,501734306,RISER-(SP16-200)_FOR-7120,4.0
222,29,Sapl0005,1,1,501734306,RISER-(SP16-250)_FOR-7120,16.0
223,29,Sapl0005,1,1,501734306,RISER-(SP16-300)_FOR-7120,2.0
224,29,Sapl0005,1,1,501734306,RISER-(SP16-350)_FOR-7120,4.0
225,29,Sapl0005,1,1,501734306,RISER-(SP16-400)_FOR-7120,4.0
226,29,Sapl0005,1,1,501734306,SHIM-(SP50-32)_FOR-7120,14.0
227,29,Sapl0005,1,1,501734306,SHIM-(SP50-33)_FOR-7120,56.0
228,29,Sapl0005,1,1,501734306,SHIM-(SP50-36)_FOR-7120,52.0
229,29,Sapl0005,1,1,501734306,RISER-(SP16-250)_FOR-8110,6.0
230,29,Sapl0005,1,1,501734306,RISER-(SP16-300)_FOR-8110,2.0
231,29,Sapl0005,1,1,501734306,RISER-(SP16-400)_FOR-8110,2.0
232,29,Sapl0005,1,1,501734306,SHIM-(SP50-1)_FOR-8110,4.0
233,29,Sapl0005,1,1,501734306,SHIM-(SP50-31)_FOR-8110,5.0
234,29,Sapl0005,1,1,501734306,SHIM-(SP50-32)_FOR-8110,10.0
235,29,Sapl0005,1,1,501734306,SHIM-(SP50-33)_FOR-8110,32.0
236,29,Sapl0005,1,1,501734306,SHIM-(SP50-35)_FOR-8110,2.0
237,29,Sapl0005,1,1,501734306,SHIM-(SP50-36)_FOR-8110,20.0
238,29,Sapl0005,1,1,501734306,RISER-(SP16-200)_FOR-8310,2.0
239,29,Sapl0005,1,1,501734306,RISER-(SP16-250)_FOR-8310,6.0
240,29,Sapl0005,1,1,501734306,RISER-(SP16-300)_FOR-8310,4.0
241,29,Sapl0005,1,1,501734306,SHIM-(SP50-1)_FOR-8310,4.0
242,29,Sapl0005,1,1,501734306,SHIM-(SP50-3)_FOR-8310,2.0
243,29,Sapl0005,1,1,501734306,SHIM-(SP50-33)_FOR-8310,18.0
244,29,Sapl0005,1,1,501734306,SHIM-(SP50-36)_FOR-8310,21.0
245,30,Sapl0005,1,1,N36LONGRAIL,LONG RAIL 3.5MTRS WITH ITS ACCESSORIES,40.0
246,30,Sapl0005,1,1,N36CROSSRAIL,CROSS RAIL 3MTRS WITH ITS ACCESSORIES,20.0
247,30,Sapl0005,1,1,N77HOIST2TON,HOIST 2 TON APPLICATION ENGINE MOUNTING,2.0
248,30,Sapl0005,1,1,N7720064680011,CONTROL PANEL ASSEMBLY MANIPULATOR WEIGHT 40 - 80KG,2.0
249,30,Sapl0005,1,1,N7720064680011,BATTERY MANIPULATOR WEIGHT CARRYING FROM 40-50KG,2.0
250,30,Sapl0005,1,1,N80HOISTIR250KG,HOIST 250KG & ITS ACCESSORIES,6.0
251,30,Sapl0005,1,1,N78BOOMASSLY01,BOOM ASSEMBLY WITH TROLLEY APPLICATION,6.0
252,30,Sapl0005,1,1,N81X009435,STRUCTURE - ISMB 150-30 MTRS,8.0
253,30,Sapl0005,1,1,N83BLK65434001,STRUCTURE - MOUNTING PLATE- 500KG PER LINE,1000.0
254,30,Sapl0005,1,1,N36LONGRAIL,LONG RAIL 3.5MTRS WITH ITS ACCESSORIES,8.0
255,30,Sapl0005,1,1,N36CROSSRAIL,CROSS RAIL 6MTRS WITH ITS ACCESSORIES,4.0
256,30,Sapl0005,1,1,N77CPAINT600205,ELECTRICAL CONTROL PANEL & CABLING,2.0
257,31,Sapl0005,1,1,N36EQUP3002052,CYLINDER BLOCK MOUNTING BOLTS HIGH TENSILE BOLT 3/4  UNC X 15  LENGTH,12.0
258,32,Sapl0005,1,1,1,AFM PINON & SHAFT,1.0
259,33,Sapl0005,1,1,501743250,3041-01-11-BASE FRAME,1.0
260,34,Sapl0005,1,1,501744256,224113-01-116-1-MYLAR,2.0
261,34,Sapl0005,1,1,501744256,224113-01-116-2-MYLAR,2.0
262,34,Sapl0005,1,1,501744256,224113-01-116-3-MYLAR,2.0
263,34,Sapl0005,1,1,501744256,224113-01-116-11-WELDMENT,2.0
264,34,Sapl0005,1,1,501744256,224113-01-116-21-L BLOCK,2.0
265,35,Sapl0005,1,1,501744249,7120/7320-1-21-BASE PLATE,2.0
266,35,Sapl0005,1,1,501744249,7110/7310-1-21-BASE PLATE,2.0
267,36,Sapl0005,1,1,10,MT45015100002984CABLE TROLLEY PVC,40.0
268,36,Sapl0005,1,1,20,MT45010800000076Wire Rope 8mm,50.0
269,37,Sapl0005,1,1,0010,trolley set,2.0
270,21,Sapl0005,1,1,30A14008003S,TROLLEY SET FOR CURVED RAILS,1.0
271,38,Sapl0005,1,1,1,DEMO MANIPULATOR,1.0
272,39,Sapl0005,1,1,1,L-RAISER AAB301M,25.0
273,39,Sapl0005,1,1,2,L-RAISER AAB401M,5.0
274,40,Sapl0005,1,1,1,MODIFICATION FOR EXISTING OLD PROJECTS,1.0
275,41,Sapl0005,1,1,1,"PLC CONTROL PANEL : Floor standing enclosure design type RV ( Non Extensible) Fixed Side cover Riveted Main Body in 1.5mm thk, Front Single Door 900WX1300H in 2.0mm thk, Back Plate riveted in 1.5mm thk CRCA sheet, Gland plate in 2.0mm thk, With 2 Nos Lifiting Hook Cross Channels in 2.0mm thk, Angle at bottom 50x50x350L in 5.0mm thk 2 Nrs SIZE:- 900WX350DX1450H Mounting Plate in 2.5mm thk GP sheet Drawing pocket 500WX150DX250H Colour Milky White",1.0
276,42,Sapl0005,1,1,1,DRAG CHAIN FOR PICK & PLACE GANTRY OF FACE COWL LINE,1.0
277,41,Sapl0005,1,1,2,PLC PANEL : PLC panel assembly as per drawing & BOM. and also as per MSIL standard.,1.0
278,43,Sapl0005,1,1,501750460,3043-1-12-BRACKET,3.0
279,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-32)FOR-2062,10.0
280,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-33)FOR-2062,18.0
281,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-34)FOR-2062,5.0
282,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-36)FOR-2062,6.0
283,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-5)FOR-2062,3.0
284,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-32)FOR-2063,10.0
285,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-33)FOR-2063,22.0
286,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-36)FOR-2063,8.0
287,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-5)FOR-2063,3.0
288,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-12)FOR-2215,12.0
289,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-2)FOR-2215,2.0
290,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-31)FOR-2215,4.0
291,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-33)FOR-2215,2.0
292,44,Sapl0005,1,1,501751112,SHIM PACK-(SP50-36)FOR-2215,4.0
293,45,Sapl0005,1,1,1,"FABRICATION, MACHINING & FINAL PROCESS",1.0
294,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-1 ) FOR 8310,10.0
295,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-17)FOR 8310,20.0
296,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-1 ) FOR 8110,10.0
297,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-17)FOR 8110,20.0
298,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-1 ) FOR 7120,20.0
299,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-17)FOR 7120,40.0
300,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-1 ) FOR 7520,14.0
301,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-17)FOR 7520,28.0
302,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-1 ) FOR 7510,30.0
303,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-17)FOR 7510,60.0
304,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-1 ) FOR 7110,16.0
305,46,Sapl0005,1,1,501758544,SHIMPACK - (SP50-17)FOR 7110,32.0
306,46,Sapl0005,1,1,501758544,SHIMPACK-(SP50-34)_FOR-7110,8.0
307,46,Sapl0005,1,1,501751713,RISER-(SP16-500)_FOR-7510,4.0
308,46,Sapl0005,1,1,501751713,RISER-(SP16-500)_FOR-7520,4.0
309,46,Sapl0005,1,1,501751713,HARDENED WASHER-(SP50-26)_FOR-4620,60.0
310,46,Sapl0005,1,1,501751713,HARDENED WASHER-(SP50-26)_FOR-4520,60.0
311,46,Sapl0005,1,1,501751713,HARDENED WASHER-(SP50-26)_FOR-4530,60.0
312,47,Sapl0005,1,1,01,long rail C63 (36MTR X 4NOS.=144MTR),144.0
313,47,Sapl0005,1,1,02,CROSS RAIL (2MTR X 20NOS. =40MTRS),40.0
314,47,Sapl0005,1,1,03,TROLLEY SET,20.0
315,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-1)_FOR-272,20.0
316,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-34)_FOR-272,20.0
317,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-31)_FOR-272,20.0
318,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-32)_FOR-272,20.0
319,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-35)_FOR-272,20.0
320,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-36)_FOR-272,20.0
321,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-3)_FOR-272,20.0
322,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-33)_FOR-272,20.0
323,48,Sapl0005,1,1,501765877,SHIM PACK-(SP50-18)_FOR-272,20.0
324,48,Sapl0005,1,1,501765909,SHIM PACK-(SP50-32)FOR-2062,4.0
325,48,Sapl0005,1,1,501765909,SHIM PACK-(SP50-33)FOR-2062,16.0
326,48,Sapl0005,1,1,501765909,SHIM PACK-(SP50-34)FOR-2062,1.0
327,48,Sapl0005,1,1,501765909,SHIM PACK-(SP50-36)FOR-2062,2.0
328,48,Sapl0005,1,1,501765909,SHIM-(SP50-1)FOR2063,1.0
329,48,Sapl0005,1,1,501765909,SHIM-(SP50-36)FOR2064,6.0
330,48,Sapl0005,1,1,501765909,SHIM-(SP50-5)FOR2064,2.0
331,48,Sapl0005,1,1,501765909,SHIM-(SP50-17)FOR2215,4.0
332,48,Sapl0005,1,1,501765909,SHIM-(SP50-16)FOR2215,2.0
333,48,Sapl0005,1,1,501765909,SHIM-(SP50-23)FOR2215,2.0
334,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-1)_FOR-266,20.0
335,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-34)_FOR-266,20.0
336,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-31)_FOR-266,20.0
337,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-32)_FOR-266,20.0
338,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-35)_FOR-266,20.0
339,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-36)_FOR-266,20.0
340,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-3)_FOR-266,20.0
341,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-33)_FOR-266,20.0
342,49,Sapl0005,1,1,501765874,SHIM PACK-(SP50-18)_FOR-266,20.0
343,50,Sapl0005,1,1,1,Risers GI 1015–300,200.0
344,51,Sapl0005,1,1,0010,TROLLEY SET FOR IT GUNS-CN100,5.0
345,52,Sapl0005,1,1,501765983,5102-ET-UB-01-07 - MBR ASSY MAIN TROLLEY,2.0
346,52,Sapl0005,1,1,501765983,5102-ET-DR-01- DOOR OTR TROLLEY,2.0
347,53,Sapl0005,1,1,501731192,5102-ET-RF-01-01 - TROLLEY,1.0
348,53,Sapl0005,1,1,501731192,5102-ET-RF-01-02 - TROLLEY,1.0
349,53,Sapl0005,1,1,501731192,5102-ET-RF-01-03 - TROLLEY,1.0
350,53,Sapl0005,1,1,501731192,5102-ET-RF-01-04 - TROLLEY,1.0
351,53,Sapl0005,1,1,501731192,5102-ET-RF-01-08 - TROLLEY,1.0
352,53,Sapl0005,1,1,501731192,5102-ET-RF-01-09 - TROLLEY,1.0
353,53,Sapl0005,1,1,501731192,5102-ET-UB-04-02 L - TROLLEY,1.0
354,53,Sapl0005,1,1,501731192,5102-ET-UB-04-02 R - TROLLEY,1.0
355,53,Sapl0005,1,1,501731192,5102-ET-DR-02 L - TROLLEY,1.0
356,53,Sapl0005,1,1,501731192,5102-ET-DR-02 R - TROLLEY,1.0
357,53,Sapl0005,1,1,501731192,5102-ET-FP-14-03 - TROLLEY,1.0
358,53,Sapl0005,1,1,501729405,5102-ET-BP-01-01,1.0
359,53,Sapl0005,1,1,501729405,5102-ET-BP-01-02,1.0
360,53,Sapl0005,1,1,501729406,5102-ET-BP-02-03,1.0
361,53,Sapl0005,1,1,501729406,5102-ET-FB-11-01,1.0
362,53,Sapl0005,1,1,501729408,5102-ET-LA-03-04,1.0
363,53,Sapl0005,1,1,501729408,5102-ET-UB-01-04,1.0
364,53,Sapl0005,1,1,501729408,5102-ET-UB-01-06,1.0
365,53,Sapl0005,1,1,501729410,5102-ET-UB-01-09,1.0
366,53,Sapl0005,1,1,501729410,5102-ET-UB-02-01,2.0
367,53,Sapl0005,1,1,501729453,5102-ET-UB-02-02,1.0
368,53,Sapl0005,1,1,501729453,5102-ET-UB-02-03,1.0
369,54,Sapl0005,1,1,501768621,SHIM PACK-(SP50-1)FOR-2062,30.0
370,54,Sapl0005,1,1,501768621,SHIM PACK-(SP50-17)FOR-2062,60.0
